Time,Agent,Strat,Payoff,Run,Coop_list
1,18,0.6240868943986358,4,0,"{Agent82: 391, Agent94: 174, Agent45: 588, Agent3: 3, Agent95: 1162, Agent56: 1040, Agent96: 1908, Agent13: 1744, Agent87: 1672, Agent55: 218, Agent73: 1341, Agent52: 1604, Agent1: 1731, Agent19: 191, Agent59: 1432, Agent5: 1101, Agent99: 1106, Agent72: 134, Agent44: 41, Agent57: 143, Agent16: 61, Agent17: 192, Agent98: 32, Agent61: 17, Agent64: 1, Agent25: 8, Agent75: 26, Agent58: 98, Agent7: 64, Agent60: 66, Agent66: 2, Agent50: 1, Agent85: 6, Agent47: 16, Agent2: 4, Agent6: 1, Agent4: 5, Agent84: 7, Agent81: 2, Agent46: 4, Agent24: 10, Agent15: 13, Agent53: 3, Agent97: 3, Agent39: 2, Agent70: 2, Agent36: 3, Agent89: 3, Agent88: 1, Agent32: 1}"
1,19,0.6608663801758331,3,0,"{Agent94: 195, Agent55: 46, Agent75: 7, Agent73: 356, Agent56: 8, Agent13: 419, Agent95: 147, Agent52: 427, Agent15: 5, Agent59: 80, Agent61: 8, Agent45: 78, Agent99: 8, Agent57: 17, Agent82: 85, Agent77: 1, Agent53: 2, Agent41: -7, Agent38: 1, Agent32: 1, Agent3: 1, Agent21: 0, Agent25: 1, Agent44: 1, Agent30: 1, Agent89: 2, Agent47: 1, Agent85: 1, Agent80: 1, Agent83: 1}"
1,20,0.5562685824904618,1,0,"{Agent55: 4, Agent10: 2, Agent77: 1, Agent35: 2}"
1,21,0.5919326993040515,7,0,"{Agent27: 4, Agent55: 3, Agent13: 0, Agent63: 1, Agent4: 1, Agent6: 1}"
1,22,0.6595353151871974,11,0,"{Agent79: 8, Agent83: -2, Agent81: 7, Agent61: 2, Agent23: 0, Agent71: 1, Agent77: 1, Agent45: 1, Agent31: 0, Agent53: 1, Agent4: 0, Agent57: 1}"
1,23,0.5735935727661765,5,0,"{Agent36: 0, Agent27: 2, Agent75: 1}"
1,24,0.48885708618108537,16,0,"{Agent13: 173, Agent1: 168, Agent27: 109, Agent5: 1, Agent3: 3, Agent87: 70, Agent52: 239, Agent95: 12, Agent59: 227, Agent96: 145, Agent75: 63, Agent18: 126, Agent14: 35, Agent56: 20, Agent19: 3, Agent45: 183, Agent99: 141, Agent61: 26, Agent72: 4, Agent48: 1, Agent15: 3, Agent82: 21, Agent55: 30, Agent17: 28, Agent77: 1, Agent73: 15, Agent93: 2, Agent2: 1, Agent57: 4, Agent50: 1}"
1,25,0.3402804832273463,5,0,"{Agent96: 19, Agent1: 4, Agent13: 5, Agent4: 4, Agent73: 1, Agent46: 1, Agent94: 1, Agent2: 1, Agent82: 1, Agent87: 1, Agent84: 4, Agent68: 1, Agent52: 1, Agent59: 4, Agent0: 1, Agent5: 1, Agent39: 1}"
1,26,0.47366873418151345,1,0,{Agent81: 10}
1,27,0.5443547893775207,3,0,"{Agent45: 313, Agent82: 306, Agent5: 952, Agent73: 959, Agent17: 41, Agent52: 1281, Agent95: 996, Agent18: 1121, Agent87: 1121, Agent56: 776, Agent99: 896, Agent1: 1283, Agent96: 1329, Agent13: 1262, Agent55: 39, Agent72: 8, Agent77: 36, Agent15: 74, Agent59: 912, Agent98: 12, Agent44: 29, Agent23: 40, Agent57: 9, Agent19: 64, Agent14: 12, Agent61: 12, Agent29: 10, Agent94: 12, Agent75: 8, Agent50: 3, Agent66: 0, Agent25: 1, Agent39: 11, Agent76: 2, Agent12: 16, Agent92: 0, Agent8: 3, Agent70: 6, Agent62: 2, Agent32: 1}"
1,28,0.6652044212951593,14,0,"{Agent1: 0, Agent70: 2, Agent23: 1, Agent21: 0, Agent84: 1}"
1,29,0.6866425471083035,3,0,"{Agent4: -1, Agent45: 3, Agent24: 5, Agent6: 6, Agent7: -2, Agent56: 1, Agent88: 1, Agent42: 1}"
1,30,0.4908039106210868,0,0,"{Agent40: 5, Agent70: 1, Agent2: 481, Agent13: 496, Agent45: 54, Agent95: 472, Agent5: 462, Agent52: 544, Agent27: 150, Agent73: 472, Agent39: 16, Agent87: 493, Agent56: 533, Agent99: 403, Agent96: 480, Agent37: 9, Agent18: 266, Agent80: 461, Agent1: 462, Agent71: 5, Agent12: 16, Agent94: 6, Agent46: 369, Agent59: 400, Agent82: 39, Agent19: 3, Agent51: 1, Agent79: 2, Agent11: 1, Agent61: 1, Agent84: 1, Agent55: 1, Agent63: 2, Agent47: 9, Agent83: 1, Agent65: 21, Agent50: 2, Agent24: 11, Agent21: 1, Agent38: 3, Agent32: 2}"
1,31,0.646123971108656,5,0,"{Agent10: 1, Agent55: 8, Agent85: 1, Agent24: 2}"
1,32,0.40419692415678377,5,0,"{Agent82: 63, Agent72: 1, Agent18: 103, Agent27: 33, Agent87: 104, Agent96: 102, Agent1: 11, Agent13: 4, Agent20: 18, Agent44: 16, Agent45: 45, Agent52: 4, Agent14: 3, Agent55: 1, Agent56: 4, Agent2: 4, Agent99: 3, Agent59: 2, Agent24: 4, Agent94: 32, Agent16: 1, Agent21: 2, Agent81: 1, Agent36: 1}"
1,33,0.622011130805209,9,0,"{Agent60: 7, Agent29: 2, Agent59: 0}"
1,34,0.5194797215342357,0,0,"{Agent54: 5, Agent96: 1, Agent52: 3, Agent73: 1, Agent1: 1, Agent45: -2, Agent26: 1, Agent61: 1, Agent62: 1}"
1,35,0.3056166800656076,0,0,"{Agent84: 4, Agent99: -1, Agent75: 2, Agent96: 3, Agent0: 2, Agent32: 2, Agent17: 1, Agent82: 1, Agent98: 1, Agent92: 1}"
1,36,0.5878818745615817,1,0,"{Agent10: 1, Agent65: 2, Agent62: 4}"
1,37,0.4595294168897075,8,0,"{Agent45: 17, Agent80: 15, Agent83: 2, Agent68: 1, Agent99: 1, Agent89: 2, Agent56: 11, Agent96: 14, Agent18: 13, Agent2: 14, Agent13: 16, Agent52: 17, Agent51: 1, Agent87: 3, Agent1: 11, Agent15: 3, Agent27: 9, Agent98: 1, Agent95: 5, Agent90: 2, Agent73: 5, Agent46: 5, Agent57: 1, Agent38: 1}"
1,38,0.6299379908592933,14,0,"{Agent10: 3, Agent51: 10, Agent54: 0, Agent66: 3}"
1,39,0.66134018517229,0,0,"{Agent57: 42, Agent96: 262, Agent87: 260, Agent5: 103, Agent24: 4, Agent27: 152, Agent52: 238, Agent73: 244, Agent95: 115, Agent56: 15, Agent99: 11, Agent75: 1, Agent59: 54, Agent13: 239, Agent1: 248, Agent6: 2, Agent82: 37, Agent18: 81, Agent2: 42, Agent80: 14, Agent46: 4, Agent77: 46, Agent15: 38, Agent17: 43, Agent98: 11, Agent55: 42, Agent94: 59, Agent22: 3, Agent20: 29, Agent45: 57, Agent32: 29, Agent16: 2, Agent12: 1, Agent25: 2, Agent19: 10}"
1,40,0.30045712772577127,4,0,"{Agent13: 22, Agent94: 10, Agent45: 28, Agent95: 7, Agent52: 2, Agent19: 2, Agent96: 1, Agent56: 4, Agent87: 26, Agent5: 1, Agent99: 2, Agent55: 1, Agent77: 2, Agent33: 5, Agent15: 0, Agent61: 17, Agent41: 1, Agent84: 2, Agent50: 1, Agent63: 1, Agent98: 1}"
1,41,0.49743114658612986,1,0,"{Agent39: 31, Agent91: 3, Agent87: 83, Agent75: 4, Agent38: 0, Agent11: 7, Agent31: 2, Agent5: 64, Agent27: 7, Agent52: 82, Agent73: 61, Agent63: 15, Agent59: 51, Agent8: 6, Agent36: 2, Agent25: 3, Agent42: 61, Agent95: 70, Agent30: 60, Agent56: 57, Agent53: 56, Agent49: 57, Agent60: 57, Agent99: 58, Agent57: 1, Agent13: 60, Agent74: 7, Agent1: 55, Agent96: 62, Agent80: 44, Agent51: 12, Agent64: 13, Agent24: 4, Agent94: 2, Agent2: 44, Agent93: 46, Agent46: 37, Agent9: 5, Agent82: 3, Agent6: 2, Agent0: 3, Agent18: 4, Agent47: 2, Agent58: 2, Agent15: 1, Agent19: 1, Agent81: 1}"
1,42,0.6470411101971123,1,0,{Agent92: 4}
1,43,0.3975643507548528,1,0,"{Agent69: 0, Agent71: 5, Agent0: 2, Agent29: 3, Agent61: 2, Agent37: 0, Agent16: 1, Agent8: 1}"
1,44,0.430081745098956,5,0,"{Agent47: 6, Agent99: 7, Agent95: 2, Agent88: 3, Agent31: 1, Agent12: 1, Agent28: 2, Agent42: 2}"
1,45,0.6481884928434618,6,0,"{Agent56: 486, Agent44: 35, Agent13: 1359, Agent52: 1101, Agent75: 142, Agent99: 775, Agent73: 744, Agent95: 712, Agent59: 1498, Agent61: 118, Agent82: 330, Agent55: 473, Agent94: 382, Agent77: 75, Agent50: 23, Agent85: 41, Agent60: 91, Agent53: 49, Agent97: 16, Agent36: 6, Agent12: 4, Agent32: 140, Agent66: 7, Agent23: 2, Agent31: 0, Agent39: 8, Agent90: 39, Agent71: 11, Agent54: 23, Agent62: 17, Agent14: 1, Agent47: 8, Agent58: 17, Agent24: 11, Agent17: 11, Agent67: 15, Agent35: 1, Agent87: 9, Agent27: 1, Agent83: 2, Agent30: 2}"
1,46,0.3764268366009562,10,0,"{Agent47: 8, Agent65: -2, Agent37: 1}"
1,47,0.5270042962482687,8,0,"{Agent82: 61, Agent40: 1, Agent13: 95, Agent70: 4, Agent18: 87, Agent95: 150, Agent23: 37, Agent69: 63, Agent1: 96, Agent89: 2, Agent83: 4, Agent27: 73, Agent19: 15, Agent87: 70, Agent96: 76, Agent52: 81, Agent5: 72, Agent92: 3, Agent94: 4, Agent39: 21, Agent51: 15, Agent73: 57, Agent2: 51, Agent37: 5, Agent56: 12, Agent80: 13, Agent24: 3, Agent59: 1, Agent67: 2, Agent74: 1, Agent48: 5, Agent46: 1, Agent22: 2, Agent38: 1}"
1,48,0.6654340604880602,0,0,{Agent74: -1}
1,49,0.6870161001160573,2,0,"{Agent27: -1, Agent29: 1, Agent90: 4, Agent63: 2, Agent21: 3, Agent69: 0}"
1,50,0.621271787711948,10,0,"{Agent66: 11, Agent2: 4, Agent55: 3, Agent88: 2, Agent97: 1}"
1,51,0.47918782857422815,3,0,"{Agent81: 15, Agent11: 2, Agent96: 1, Agent18: 1, Agent39: 2}"
1,52,0.33217832742101416,6,0,{Agent85: 0}
