,Time,Agent,Strat,Payoff,Run,Coop_list
0,1,0,0.6377687406100192,3,0,"{Agent24: 5, Agent69: 3, Agent44: 2, Agent18: 2, Agent98: 1}"
1,1,1,0.603181761176121,6,0,"{Agent28: 4, Agent15: 1, Agent58: -1, Agent83: 1, Agent14: 1, Agent3: 1, Agent98: 0, Agent64: 0, Agent50: 1, Agent81: 2, Agent29: 1, Agent19: 1}"
2,1,2,0.468228632332338,6,0,"{Agent28: 490, Agent17: 599, Agent24: 220, Agent66: 250, Agent3: 20, Agent99: 25, Agent29: 167, Agent14: 371, Agent54: 12, Agent94: 590, Agent42: 480, Agent21: 174, Agent19: 9, Agent6: 497, Agent90: 487, Agent4: 195, Agent16: 268, Agent70: 1, Agent71: 1, Agent26: 380, Agent25: 78, Agent27: 107, Agent93: 145, Agent18: 79, Agent80: 4, Agent89: 170, Agent57: 466, Agent11: 41, Agent36: 68, Agent97: 2, Agent47: 36, Agent39: 10, Agent37: 1, Agent61: 2, Agent85: 0, Agent59: 26, Agent46: 1, Agent35: 11, Agent91: 19, Agent32: 23, Agent64: 25, Agent22: 32, Agent48: 13, Agent49: 1, Agent5: 8, Agent34: 1, Agent68: 4}"
3,1,3,0.4035667001171853,1,0,"{Agent9: 3, Agent17: 5, Agent60: 1, Agent15: 1}"
4,1,4,0.5045098885474434,11,0,"{Agent94: 1893, Agent57: 1784, Agent71: 7, Agent75: 4, Agent24: 147, Agent17: 2026, Agent42: 1833, Agent26: 1672, Agent28: 1766, Agent80: 94, Agent27: 507, Agent89: 1610, Agent66: 136, Agent54: 64, Agent99: 171, Agent18: 155, Agent48: 91, Agent67: 11, Agent47: 30, Agent19: 3, Agent9: 3, Agent56: 19, Agent70: 62, Agent20: 12, Agent10: 61, Agent46: 2, Agent77: 2, Agent78: 3, Agent64: 1, Agent12: 21, Agent50: 3, Agent41: 14, Agent38: 7, Agent6: 3, Agent82: 3, Agent13: 1}"
5,1,5,0.46197365498016574,16,0,"{Agent75: 3, Agent90: 33, Agent86: 24, Agent4: 20, Agent94: 60, Agent68: 10, Agent89: 24, Agent92: 7, Agent22: 1, Agent34: 16, Agent81: 26, Agent42: 37, Agent43: 17, Agent62: 6, Agent26: 41, Agent29: 1, Agent17: 17, Agent57: 55, Agent18: 1, Agent45: 2, Agent6: 33, Agent58: 1, Agent16: 1, Agent93: 1, Agent27: 1, Agent30: 24, Agent71: 1, Agent28: 1, Agent21: 1, Agent33: 3, Agent24: 28, Agent96: 2, Agent85: 3, Agent41: 15, Agent52: 23, Agent80: 24, Agent23: 12, Agent54: 2, Agent99: 1, Agent9: 1}"
6,1,6,0.6135194356139091,8,0,"{Agent17: 3393, Agent99: 449, Agent27: 1067, Agent75: 25, Agent57: 2632, Agent24: 451, Agent4: 1573, Agent94: 3448, Agent26: 2261, Agent42: 3245, Agent66: 317, Agent28: 2793, Agent18: 396, Agent89: 1583, Agent30: 228, Agent71: 251, Agent54: 228, Agent80: 463, Agent73: 16, Agent20: 26, Agent48: 322, Agent19: 1, Agent52: 155, Agent10: 171, Agent47: 188, Agent56: 37, Agent67: 63, Agent88: 4, Agent65: 32, Agent87: 1, Agent72: 2, Agent49: 1, Agent63: 2, Agent22: 13, Agent38: 24, Agent82: 15, Agent69: 2, Agent40: 10, Agent85: 1, Agent84: 6, Agent46: 6, Agent7: 1, Agent55: 5, Agent70: 1}"
7,1,7,0.42132509043157096,8,0,"{Agent2: 0, Agent23: 0, Agent40: 1, Agent14: 0, Agent8: 1, Agent77: 1, Agent85: 1, Agent50: 0, Agent69: 1, Agent5: 1}"
8,1,8,0.4906387816609423,5,0,"{Agent81: 22, Agent28: 43, Agent42: 49, Agent94: 36, Agent37: 35, Agent92: 2, Agent53: 14, Agent35: 16, Agent73: 3, Agent85: 1, Agent31: 3, Agent17: 40, Agent41: 31, Agent30: 8, Agent90: 30, Agent13: 1, Agent0: 1, Agent75: 5, Agent45: 12, Agent64: 26, Agent22: 26, Agent78: 3, Agent99: 24, Agent27: 26, Agent5: 2, Agent18: 2, Agent6: 39, Agent47: 34, Agent14: 6, Agent25: 4, Agent21: 2, Agent33: 2, Agent29: 9, Agent57: 26, Agent34: 3, Agent26: 2, Agent86: 2, Agent89: 3, Agent16: 21, Agent82: 20, Agent93: 3, Agent2: 1, Agent56: 2, Agent44: 17, Agent4: 2, Agent23: 2, Agent15: 2, Agent58: 2, Agent52: 1}"
9,1,9,0.5333528157820124,5,0,"{Agent29: 10, Agent35: 1, Agent55: 0, Agent93: 1, Agent52: 6, Agent6: 2, Agent31: 1, Agent53: 1, Agent28: 2, Agent78: 1}"
10,1,10,0.6632451540781341,8,0,"{Agent38: 0, Agent39: 6, Agent68: 1, Agent4: -3, Agent22: -1, Agent11: 2, Agent58: 6, Agent2: 1, Agent27: 0, Agent28: 1}"
11,1,11,0.45372841807326464,1,0,"{Agent17: 209, Agent75: 2, Agent99: 7, Agent6: 220, Agent61: 4, Agent57: 103, Agent94: 242, Agent42: 186, Agent4: 3, Agent14: 94, Agent90: 94, Agent26: 7, Agent28: 46, Agent93: 1, Agent27: 48, Agent18: 18, Agent16: 23, Agent20: 1, Agent65: 8, Agent24: 17, Agent91: 17, Agent54: 1, Agent56: 13, Agent77: 1, Agent96: 4, Agent71: 79, Agent80: 99, Agent10: 63, Agent67: 18, Agent78: 3, Agent12: 1, Agent32: 43, Agent52: 9, Agent43: 63, Agent9: 1, Agent86: 4, Agent38: 21, Agent87: 1, Agent79: 6, Agent23: 5, Agent21: 4, Agent53: 2, Agent13: 2}"
12,1,12,0.508563472893679,1,0,"{Agent87: 7, Agent35: 0, Agent29: 1, Agent90: 4, Agent34: 1, Agent53: 0, Agent42: 1, Agent99: 1}"
13,1,13,0.7117787538164667,1,0,"{Agent45: 2, Agent40: -2, Agent34: 0, Agent83: 3, Agent94: 4, Agent23: 1, Agent24: 2, Agent96: 1}"
14,1,14,0.5473475986701326,13,0,"{Agent6: 1776, Agent71: 262, Agent26: 1598, Agent28: 1557, Agent66: 439, Agent17: 2328, Agent24: 289, Agent57: 1334, Agent4: 744, Agent94: 2284, Agent42: 2104, Agent99: 200, Agent27: 832, Agent89: 941, Agent18: 513, Agent48: 472, Agent23: 12, Agent52: 214, Agent80: 493, Agent54: 258, Agent65: 108, Agent30: 129, Agent19: 50, Agent10: 432, Agent47: 310, Agent56: 152, Agent67: 213, Agent22: 6, Agent46: 57, Agent77: 34, Agent20: 98, Agent76: 3, Agent72: 3, Agent0: 55, Agent86: 4, Agent38: 61, Agent73: 46, Agent82: 24, Agent84: 23, Agent37: 26, Agent70: 6, Agent55: 5, Agent61: 5, Agent74: 5, Agent93: 5, Agent7: 2, Agent25: 1, Agent50: 1}"
