,Time,Agent,Strat,Payoff,Run,Coop_list
0,1,0,0.6377687406100192,0,0,"{Agent50: 0, Agent14: 9, Agent80: 1, Agent55: 15, Agent83: -2, Agent30: 0, Agent9: 1, Agent4: 1, Agent23: 1, Agent51: 0, Agent93: 2, Agent81: -1, Agent60: 2, Agent16: 1, Agent26: 1}"
1,1,1,0.603181761176121,6,0,"{Agent29: 1654, Agent68: 1593, Agent17: 179, Agent50: 1668, Agent27: 1678, Agent33: 1286, Agent57: 1571, Agent58: 1113, Agent30: 985, Agent86: 1507, Agent90: 1618, Agent20: 1089, Agent36: 242, Agent67: 1636, Agent78: 386, Agent42: 16, Agent53: 0, Agent26: 1327, Agent82: 1616, Agent7: 215, Agent11: 22, Agent76: 983, Agent22: 216, Agent25: 176, Agent83: 263, Agent18: 1, Agent84: 1, Agent63: 21, Agent46: 176, Agent15: 12, Agent66: 28, Agent99: 1, Agent8: 5, Agent24: 1, Agent14: 1, Agent54: 1, Agent19: 1, Agent31: 1, Agent87: 2, Agent38: 8, Agent65: 7, Agent0: 1, Agent92: 6, Agent88: 1, Agent72: 1}"
2,1,2,0.468228632332338,6,0,"{Agent72: 1, Agent40: 1, Agent92: 1, Agent77: 1, Agent35: 3, Agent57: 1}"
3,1,3,0.4035667001171853,1,0,"{Agent82: 4, Agent86: -2, Agent17: 0, Agent35: 3, Agent28: 2, Agent20: 4, Agent73: -1, Agent37: 1, Agent89: 2, Agent68: 1, Agent93: 1, Agent90: 3, Agent29: 1, Agent50: 2, Agent57: 1, Agent30: 1, Agent76: 2, Agent33: 2, Agent58: 2, Agent27: 2, Agent70: 2}"
4,1,4,0.5045098885474434,8,0,"{Agent29: 16, Agent90: 2, Agent9: 1, Agent51: 1, Agent76: 1, Agent70: 2, Agent56: 1, Agent33: 2, Agent0: 1, Agent88: 1}"
5,1,5,0.46197365498016574,16,0,"{Agent47: 5, Agent75: 1, Agent43: 1, Agent76: 3, Agent3: 1, Agent69: 0, Agent4: 1, Agent0: 2, Agent59: 1, Agent9: 1, Agent77: 1, Agent2: 1, Agent99: 0}"
6,1,6,0.6135194356139091,8,0,"{Agent91: 0, Agent33: 1, Agent17: 0, Agent31: 1, Agent98: 1}"
7,1,7,0.42132509043157096,8,0,"{Agent2: 2, Agent8: 3, Agent78: 2, Agent81: 2, Agent59: 1}"
8,1,8,0.4906387816609423,5,0,"{Agent25: 36, Agent26: 24, Agent52: 1, Agent1: 19, Agent16: 0, Agent21: 44, Agent27: 56, Agent99: 31, Agent71: 23, Agent44: 1, Agent95: 22, Agent67: 49, Agent63: 28, Agent36: 4, Agent12: 2, Agent29: 60, Agent70: 6, Agent17: 31, Agent41: 17, Agent58: 22, Agent84: 7, Agent47: 20, Agent50: 60, Agent22: 2, Agent87: 10, Agent37: 1, Agent43: 1, Agent83: 29, Agent4: 1, Agent11: 2, Agent57: 23, Agent93: 44, Agent38: 56, Agent90: 37, Agent68: 35, Agent74: 42, Agent59: 1, Agent20: 3, Agent82: 28, Agent97: 1, Agent7: 2, Agent35: 1, Agent80: 1, Agent61: 1, Agent89: 49, Agent86: 32, Agent42: 2, Agent78: 18, Agent55: 8, Agent51: 7, Agent9: 21, Agent64: 28, Agent33: 29, Agent49: 1, Agent13: 8, Agent81: 1}"
9,1,9,0.5333528157820124,5,0,"{Agent12: 4, Agent40: 1}"
10,1,10,0.5460104058444518,8,0,"{Agent85: 5, Agent62: 1, Agent86: 2, Agent96: 2, Agent66: 1, Agent76: 1, Agent26: 2, Agent68: 2, Agent88: 1, Agent3: 1}"
11,1,11,0.5018747423269561,1,0,"{Agent56: -2, Agent94: 2, Agent93: 5, Agent27: 1, Agent86: 1, Agent0: 1, Agent1: 1, Agent7: 1, Agent9: 1, Agent54: 1, Agent60: 1, Agent92: 1}"
12,1,12,0.4127351377598815,1,0,"{Agent33: 12, Agent58: 3, Agent17: 1, Agent50: 3, Agent82: 6, Agent25: 1, Agent36: 8, Agent29: 3, Agent90: 2, Agent42: 2, Agent67: 4, Agent78: 5, Agent1: 3, Agent27: 3, Agent57: 2, Agent46: 1, Agent86: 2, Agent63: 1, Agent14: 1, Agent20: 1, Agent44: 1, Agent11: 1, Agent69: 1, Agent70: 1, Agent38: 3, Agent60: 1, Agent19: 1, Agent15: 1, Agent31: 1}"
13,1,13,0.6023216816628896,1,0,"{Agent72: 2, Agent0: 5, Agent85: 0, Agent17: 1, Agent41: 1, Agent91: 1}"
14,1,14,0.5473475986701326,13,0,"{Agent6: 0, Agent7: 1, Agent61: 3, Agent75: 1}"
15,1,15,0.40020253654497623,1,0,"{Agent83: 6, Agent69: 2, Agent20: 1, Agent66: 4, Agent62: 1, Agent34: 3, Agent27: 2, Agent45: 1, Agent91: 2, Agent56: 1}"
16,1,16,0.6638985023872961,0,0,"{Agent49: 1, Agent61: 1, Agent67: 4, Agent15: 0, Agent19: 1, Agent5: 1, Agent37: 0, Agent6: 2, Agent22: 3}"
17,1,17,0.6931141904150613,6,0,"{Agent20: 4, Agent7: 1, Agent87: 1, Agent86: 1, Agent72: 1, Agent55: 1, Agent58: 1}"
18,1,18,0.6338351039691359,6,0,"{Agent8: 1, Agent99: 1, Agent11: 2, Agent58: 1}"
19,1,19,0.5743809622499212,0,0,"{Agent85: 0, Agent22: 9, Agent27: 4, Agent38: 1, Agent51: 3, Agent1: 1, Agent66: 2, Agent16: 1, Agent30: 1, Agent4: 1, Agent33: 2, Agent36: 2, Agent98: 2, Agent29: 1, Agent77: 1, Agent2: 1, Agent8: -1, Agent32: 1, Agent46: 1, Agent23: 2, Agent0: 1, Agent78: 1}"
20,1,20,0.4240590277277331,6,0,"{Agent68: 2385, Agent29: 2235, Agent90: 2413, Agent33: 2188, Agent58: 2080, Agent86: 2340, Agent36: 554, Agent27: 2348, Agent17: 96, Agent25: 78, Agent50: 1955, Agent67: 1929, Agent46: 377, Agent42: 6, Agent24: 33, Agent14: 94, Agent49: 72, Agent98: 25, Agent53: 59, Agent44: 1, Agent72: 133, Agent59: 1, Agent15: 280, Agent43: 1, Agent60: 1, Agent66: 1, Agent34: 1, Agent41: 26, Agent26: 26, Agent16: 1, Agent0: 25, Agent28: 0, Agent74: 20, Agent52: 1, Agent13: 1, Agent6: 1, Agent88: 2, Agent99: 8, Agent57: 2, Agent45: 1, Agent84: 1, Agent3: 4, Agent81: 1, Agent83: 1, Agent55: 4, Agent75: 1, Agent78: 1, Agent92: 1, Agent19: 1}"
21,1,21,0.5919326993040515,7,0,"{Agent24: -1, Agent30: 3, Agent93: 2, Agent55: 1, Agent45: 2, Agent76: 3, Agent3: 0, Agent23: 2, Agent35: 3, Agent39: 2}"
22,1,22,0.6595353151871974,11,0,"{Agent76: 8, Agent29: 283, Agent7: 162, Agent50: 279, Agent82: 244, Agent67: 291, Agent27: 428, Agent83: 70, Agent84: 2, Agent25: 2, Agent26: 100, Agent57: 233, Agent17: 2, Agent90: 236, Agent68: 300, Agent58: 27, Agent86: 209, Agent30: 28, Agent20: 5, Agent33: 78, Agent36: 246, Agent46: 216, Agent10: 1, Agent78: 199, Agent53: 2, Agent42: 18, Agent15: 51, Agent66: 29, Agent8: 9, Agent24: 2, Agent44: 5, Agent65: 43, Agent92: 70, Agent48: 22, Agent32: 2, Agent63: 2, Agent72: 39, Agent31: 28, Agent61: 3, Agent81: 3, Agent55: 3, Agent34: 1, Agent52: 1}"
23,1,23,0.59138371341588,5,0,"{Agent82: 2, Agent43: 0, Agent9: 0, Agent68: 1, Agent79: 3, Agent4: 1, Agent93: 1, Agent8: 2, Agent18: 0, Agent90: 1, Agent69: 1, Agent75: 1, Agent1: 1}"
24,1,24,0.48885708618108537,13,0,"{Agent99: 2, Agent20: 2, Agent33: 8, Agent82: 4, Agent47: 4, Agent83: 2, Agent70: 4, Agent30: 3, Agent71: 1, Agent50: 2, Agent67: 1, Agent58: 3, Agent89: 4, Agent74: 4, Agent68: 1, Agent93: 2, Agent3: 1, Agent90: 3, Agent25: 2, Agent64: 2, Agent86: 1, Agent80: 1, Agent1: 1, Agent28: 1, Agent17: 2, Agent0: 1, Agent26: 1, Agent21: 1, Agent38: 1, Agent95: 1, Agent36: 1, Agent8: 1, Agent29: 1, Agent23: 1}"
25,1,25,0.3402804832273463,5,0,"{Agent68: 479, Agent90: 437, Agent58: 139, Agent27: 522, Agent29: 528, Agent15: 10, Agent57: 2, Agent30: 0, Agent88: 1, Agent1: 1, Agent4: 1, Agent64: 1, Agent17: 1, Agent93: 1, Agent51: 1, Agent40: 1, Agent50: 1, Agent94: 1, Agent83: 1, Agent76: 1, Agent47: 2, Agent59: 1, Agent65: 1}"
26,1,26,0.47366873418151345,1,0,"{Agent82: 1507, Agent25: 239, Agent67: 1478, Agent30: 1069, Agent36: 168, Agent50: 1598, Agent27: 1525, Agent29: 1519, Agent78: 323, Agent83: 420, Agent84: 3, Agent57: 1495, Agent17: 251, Agent90: 1455, Agent68: 1537, Agent33: 1409, Agent76: 1069, Agent86: 1512, Agent20: 1122, Agent7: 79, Agent63: 30, Agent58: 1132, Agent46: 76, Agent79: 1, Agent66: 8, Agent8: 4, Agent48: 44, Agent80: 0, Agent93: 0, Agent37: 11, Agent72: 16, Agent42: 20, Agent65: 7, Agent92: 7, Agent85: 2, Agent15: 15, Agent31: 5, Agent43: 5, Agent39: 7, Agent21: 5, Agent14: 5}"
27,1,27,0.5443547893775207,3,0,"{Agent21: 1, Agent14: 3, Agent34: 1, Agent64: 1, Agent80: 1}"
28,1,28,0.6652044212951593,14,0,"{Agent1: 3, Agent57: 0, Agent70: 3, Agent74: 1, Agent38: 1, Agent3: 1, Agent45: 1}"
29,1,29,0.6866425471083035,4,0,"{Agent15: 5537, Agent26: 2923, Agent67: 2486, Agent40: 45, Agent60: 1981, Agent73: 2633, Agent3: 1111, Agent76: 403, Agent45: 1861, Agent31: 14, Agent27: 263, Agent64: 559, Agent5: 1329, Agent13: 5, Agent95: 756, Agent61: 983, Agent48: 1105, Agent42: 831, Agent87: 1066, Agent93: 47, Agent77: 341, Agent96: 517, Agent90: 80, Agent50: 109, Agent98: 94, Agent33: -2, Agent38: 135, Agent94: 87, Agent74: 83, Agent44: 106, Agent97: 91, Agent1: 1, Agent71: 56, Agent88: 1, Agent25: 1, Agent17: 16, Agent41: -2, Agent16: 33, Agent83: 1, Agent34: 10, Agent7: 21, Agent53: 1, Agent10: 1}"
30,1,30,0.4908039106210868,0,0,"{Agent29: 1788, Agent17: 75, Agent67: 1573, Agent27: 1765, Agent33: 1806, Agent50: 1543, Agent86: 1777, Agent20: 1687, Agent58: 1686, Agent68: 1687, Agent90: 1786, Agent36: 262, Agent25: 42, Agent24: 28, Agent44: 7, Agent53: 1, Agent97: 2, Agent85: 85, Agent46: 129, Agent52: 2, Agent15: 141, Agent72: 101, Agent81: 2, Agent28: 1, Agent43: 5, Agent41: 1, Agent37: 21, Agent14: 13, Agent98: 2, Agent42: 39, Agent70: 10, Agent19: 8, Agent61: 1, Agent93: 1, Agent49: 5, Agent35: 1, Agent21: 2, Agent91: 1}"
31,1,31,0.646123971108656,5,0,"{Agent45: 0, Agent54: 1, Agent91: 0}"
32,1,32,0.5560292948913723,5,0,"{Agent90: 4, Agent48: 4, Agent1: 1, Agent28: 1, Agent25: 1, Agent58: 1, Agent86: 1}"
33,1,33,0.622011130805209,9,0,"{Agent90: 4126, Agent25: 441, Agent58: 3253, Agent15: 1684, Agent86: 3737, Agent29: 4226, Agent27: 4314, Agent68: 4149, Agent67: 3212, Agent46: 896, Agent72: 1342, Agent44: 5, Agent53: 17, Agent66: 209, Agent56: 44, Agent60: 8, Agent74: 342, Agent98: 634, Agent26: 389, Agent49: 613, Agent99: 257, Agent55: 276, Agent34: 180, Agent11: 102, Agent81: 195, Agent2: 228, Agent19: 303, Agent3: 241, Agent45: 460, Agent95: 3, Agent71: 329, Agent38: 181, Agent52: 34, Agent91: 168, Agent1: 147, Agent65: 103, Agent12: 1, Agent92: 48, Agent39: 59, Agent40: 122, Agent96: 3, Agent75: 0, Agent69: 1, Agent6: 2, Agent37: 8, Agent82: 5, Agent63: 5, Agent84: 1}"
34,1,34,0.5194797215342357,0,0,"{Agent8: 13, Agent69: -1, Agent24: 1, Agent4: 2, Agent83: 2, Agent90: 5, Agent22: 1, Agent19: 0, Agent74: 2, Agent59: 3, Agent68: 2, Agent29: 1, Agent70: 1, Agent56: 0, Agent26: 1, Agent14: 1, Agent89: 1, Agent2: 1, Agent55: 2}"
35,1,35,0.3056166800656076,0,0,{Agent2: 1}
