,Agent,Coop_list,Coop_list_dict
79,79,"[['52', ' 9'], ['98', ' 7'], ['23', ' 1'], ['9', ' 1'], ['24', ' 1'], ['0', ' 1'], ['54', ' 1'], ['45', ' 1'], ['56', ' 1']]","{'52': 9, '98': 7, '23': 1, '9': 1, '24': 1, '0': 1, '54': 1, '45': 1, '56': 1}"
80,80,"[['13', ' 28'], ['15', ' 2'], ['36', ' 6'], ['47', ' 0'], ['1', ' 1'], ['54', ' 1'], ['53', ' 2'], ['10', ' -1'], ['35', ' 1'], ['3', ' 2']]","{'13': 28, '15': 2, '36': 6, '47': 0, '1': 1, '54': 1, '53': 2, '10': -1, '35': 1, '3': 2}"
81,81,"[['58', ' 3'], ['28', ' 2'], ['51', ' 3'], ['67', ' 3'], ['50', ' 1'], ['12', ' 1'], ['77', ' 1'], ['26', ' 3'], ['39', ' 7'], ['23', ' 1'], ['32', ' 1'], ['33', ' 1'], ['15', ' 7'], ['21', ' 3']]","{'58': 3, '28': 2, '51': 3, '67': 3, '50': 1, '12': 1, '77': 1, '26': 3, '39': 7, '23': 1, '32': 1, '33': 1, '15': 7, '21': 3}"
82,82,"[['85', ' 256'], ['42', ' 59'], ['49', ' 3'], ['98', ' 86'], ['13', ' 100'], ['59', ' 105'], ['31', ' 102'], ['56', ' 1'], ['54', ' 1'], ['38', ' 8'], ['51', ' 24'], ['67', ' 16'], ['55', ' 42'], ['48', ' 1'], ['97', ' 1'], ['58', ' 1'], ['15', ' 2'], ['29', ' 1'], ['75', ' 25'], ['28', ' 34'], ['52', ' 15'], ['73', ' 1'], ['50', ' 9'], ['43', ' 7'], ['90', ' 2'], ['33', ' 3'], ['92', ' 2'], ['32', ' 1'], ['14', ' 1'], ['4', ' 1'], ['1', ' 1']]","{'85': 256, '42': 59, '49': 3, '98': 86, '13': 100, '59': 105, '31': 102, '56': 1, '54': 1, '38': 8, '51': 24, '67': 16, '55': 42, '48': 1, '97': 1, '58': 1, '15': 2, '29': 1, '75': 25, '28': 34, '52': 15, '73': 1, '50': 9, '43': 7, '90': 2, '33': 3, '92': 2, '32': 1, '14': 1, '4': 1, '1': 1}"
83,83,"[['74', ' 2'], ['78', ' 3'], ['90', ' 74'], ['44', ' 70'], ['42', ' 2'], ['95', ' 72'], ['98', ' 79'], ['76', ' 1'], ['7', ' 0'], ['59', ' 31'], ['85', ' 45'], ['31', ' 5'], ['55', ' 39'], ['15', ' 9'], ['50', ' 4'], ['9', ' 1'], ['28', ' 1'], ['52', ' 4'], ['4', ' 3'], ['2', ' 1']]","{'74': 2, '78': 3, '90': 74, '44': 70, '42': 2, '95': 72, '98': 79, '76': 1, '7': 0, '59': 31, '85': 45, '31': 5, '55': 39, '15': 9, '50': 4, '9': 1, '28': 1, '52': 4, '4': 3, '2': 1}"
84,84,"[['22', ' 3']]",{'22': 3}
85,85,"[['49', ' 10'], ['82', ' 240'], ['42', ' 296'], ['55', ' 419'], ['98', ' 467'], ['33', ' 114'], ['59', ' 724'], ['71', ' 7'], ['31', ' 628'], ['13', ' 447'], ['1', ' 1'], ['38', ' 32'], ['75', ' 244'], ['67', ' 135'], ['90', ' 85'], ['28', ' 244'], ['56', ' 24'], ['52', ' 82'], ['97', ' 29'], ['58', ' 51'], ['50', ' 130'], ['24', ' 2'], ['74', ' 107'], ['48', ' 29'], ['12', ' 17'], ['15', ' 46'], ['51', ' 165'], ['29', ' 27'], ['43', ' 47'], ['83', ' 45'], ['44', ' 42'], ['95', ' 41'], ['99', ' 107'], ['53', ' 3'], ['14', ' 24'], ['40', ' 1'], ['22', ' 15'], ['11', ' -2'], ['62', ' 13'], ['96', ' 2'], ['39', ' 1'], ['70', ' 10'], ['6', ' 7'], ['4', ' 12'], ['18', ' 6'], ['25', ' 2'], ['91', ' 2'], ['9', ' 1'], ['61', ' 1']]","{'49': 10, '82': 240, '42': 296, '55': 419, '98': 467, '33': 114, '59': 724, '71': 7, '31': 628, '13': 447, '1': 1, '38': 32, '75': 244, '67': 135, '90': 85, '28': 244, '56': 24, '52': 82, '97': 29, '58': 51, '50': 130, '24': 2, '74': 107, '48': 29, '12': 17, '15': 46, '51': 165, '29': 27, '43': 47, '83': 45, '44': 42, '95': 41, '99': 107, '53': 3, '14': 24, '40': 1, '22': 15, '11': -2, '62': 13, '96': 2, '39': 1, '70': 10, '6': 7, '4': 12, '18': 6, '25': 2, '91': 2, '9': 1, '61': 1}"
86,86,"[['5', ' 1'], ['15', ' 12'], ['54', ' 2'], ['29', ' 1']]","{'5': 1, '15': 12, '54': 2, '29': 1}"
87,87,"[['39', ' 8'], ['31', ' 1'], ['98', ' 4'], ['15', ' 3'], ['21', ' 1'], ['73', ' 1'], ['34', ' 1'], ['36', ' 1'], ['42', ' 5'], ['90', ' 4'], ['93', ' 2'], ['50', ' 2']]","{'39': 8, '31': 1, '98': 4, '15': 3, '21': 1, '73': 1, '34': 1, '36': 1, '42': 5, '90': 4, '93': 2, '50': 2}"
88,88,"[['50', ' 3'], ['70', ' 1']]","{'50': 3, '70': 1}"
89,89,"[['15', ' 17'], ['44', ' 1'], ['3', ' -1'], ['47', ' 4'], ['76', ' 1'], ['42', ' 1'], ['4', ' 1']]","{'15': 17, '44': 1, '3': -1, '47': 4, '76': 1, '42': 1, '4': 1}"
90,90,"[['2', ' -1'], ['59', ' 82'], ['67', ' 9'], ['85', ' 83'], ['31', ' 34'], ['98', ' 112'], ['71', ' 2'], ['51', ' 10'], ['13', ' 21'], ['18', ' 1'], ['55', ' 79'], ['21', ' 8'], ['28', ' 19'], ['74', ' 4'], ['42', ' 22'], ['83', ' 69'], ['44', ' 73'], ['95', ' 76'], ['52', ' 29'], ['33', ' 3'], ['50', ' 12'], ['75', ' 16'], ['54', ' 11'], ['17', ' 5'], ['15', ' 79'], ['53', ' 1'], ['39', ' 12'], ['14', ' 20'], ['4', ' 27'], ['56', ' 7'], ['70', ' 7'], ['58', ' 18'], ['26', ' 4'], ['97', ' 14'], ['24', ' 6'], ['9', ' 6'], ['63', ' 1'], ['99', ' 7'], ['48', ' 8'], ['91', ' 6'], ['29', ' 8'], ['34', ' 1'], ['43', ' 5'], ['82', ' 2'], ['3', ' 1'], ['73', ' 4'], ['87', ' 4'], ['62', ' 2']]","{'2': -1, '59': 82, '67': 9, '85': 83, '31': 34, '98': 112, '71': 2, '51': 10, '13': 21, '18': 1, '55': 79, '21': 8, '28': 19, '74': 4, '42': 22, '83': 69, '44': 73, '95': 76, '52': 29, '33': 3, '50': 12, '75': 16, '54': 11, '17': 5, '15': 79, '53': 1, '39': 12, '14': 20, '4': 27, '56': 7, '70': 7, '58': 18, '26': 4, '97': 14, '24': 6, '9': 6, '63': 1, '99': 7, '48': 8, '91': 6, '29': 8, '34': 1, '43': 5, '82': 2, '3': 1, '73': 4, '87': 4, '62': 2}"
91,91,"[['55', ' 8'], ['56', ' 2'], ['85', ' 3'], ['15', ' 40'], ['98', ' 46'], ['48', ' 45'], ['97', ' 44'], ['58', ' 43'], ['13', ' 36'], ['29', ' 27'], ['76', ' 1'], ['1', ' 1'], ['12', ' 1'], ['31', ' 5'], ['90', ' 4'], ['59', ' 2']]","{'55': 8, '56': 2, '85': 3, '15': 40, '98': 46, '48': 45, '97': 44, '58': 43, '13': 36, '29': 27, '76': 1, '1': 1, '12': 1, '31': 5, '90': 4, '59': 2}"
92,92,"[['77', ' 1'], ['82', ' 2'], ['86', ' 1'], ['33', ' 1'], ['50', ' 1']]","{'77': 1, '82': 2, '86': 1, '33': 1, '50': 1}"
93,93,"[['87', ' 2']]",{'87': 2}
94,94,"[['25', ' 1'], ['32', ' -1'], ['67', ' 1'], ['12', ' 1'], ['36', ' 3'], ['55', ' 2']]","{'25': 1, '32': -1, '67': 1, '12': 1, '36': 3, '55': 2}"
95,95,"[['44', ' 70'], ['83', ' 70'], ['45', ' 1'], ['82', ' 1'], ['21', ' 1'], ['90', ' 76'], ['42', ' 1'], ['98', ' 73'], ['59', ' 26'], ['85', ' 41'], ['31', ' 5'], ['55', ' 36'], ['67', ' 2'], ['32', ' 1'], ['17', ' 2'], ['15', ' 14'], ['74', ' 1'], ['0', ' 3'], ['8', ' 1'], ['66', ' 2'], ['94', ' 1'], ['52', ' 4'], ['4', ' 5'], ['60', ' 1']]","{'44': 70, '83': 70, '45': 1, '82': 1, '21': 1, '90': 76, '42': 1, '98': 73, '59': 26, '85': 41, '31': 5, '55': 36, '67': 2, '32': 1, '17': 2, '15': 14, '74': 1, '0': 3, '8': 1, '66': 2, '94': 1, '52': 4, '4': 5, '60': 1}"
96,96,"[['29', ' 1'], ['14', ' 5'], ['75', ' 2'], ['51', ' 4'], ['99', ' 1'], ['28', ' 3'], ['59', ' 0'], ['85', ' 2'], ['6', ' 2'], ['62', ' 1'], ['26', ' 1'], ['55', ' 1'], ['65', ' 0'], ['61', ' 3']]","{'29': 1, '14': 5, '75': 2, '51': 4, '99': 1, '28': 3, '59': 0, '85': 2, '6': 2, '62': 1, '26': 1, '55': 1, '65': 0, '61': 3}"
97,97,"[['9', ' 45'], ['15', ' 206'], ['79', ' 1'], ['58', ' 216'], ['4', ' 50'], ['29', ' 176'], ['48', ' 200'], ['24', ' 64'], ['98', ' 204'], ['14', ' 8'], ['85', ' 29'], ['13', ' 205'], ['91', ' 42'], ['31', ' 49'], ['59', ' 35'], ['42', ' 15'], ['82', ' 1'], ['73', ' 9'], ['55', ' 25'], ['71', ' 1'], ['53', ' 1'], ['56', ' 10'], ['28', ' 8'], ['90', ' 14'], ['52', ' 6'], ['32', ' 1'], ['75', ' 4'], ['22', ' 2'], ['17', ' 1']]","{'9': 45, '15': 206, '79': 1, '58': 216, '4': 50, '29': 176, '48': 200, '24': 64, '98': 204, '14': 8, '85': 29, '13': 205, '91': 42, '31': 49, '59': 35, '42': 15, '82': 1, '73': 9, '55': 25, '71': 1, '53': 1, '56': 10, '28': 8, '90': 14, '52': 6, '32': 1, '75': 4, '22': 2, '17': 1}"
98,98,"[['55', ' 255'], ['85', ' 465'], ['59', ' 474'], ['31', ' 354'], ['13', ' 564'], ['56', ' 23'], ['82', ' 82'], ['7', ' -1'], ['90', ' 110'], ['33', ' 32'], ['48', ' 203'], ['97', ' 204'], ['58', ' 215'], ['15', ' 236'], ['91', ' 44'], ['29', ' 164'], ['78', ' 15'], ['42', ' 154'], ['28', ' 142'], ['46', ' 1'], ['75', ' 120'], ['50', ' 57'], ['52', ' 49'], ['83', ' 75'], ['44', ' 69'], ['95', ' 69'], ['38', ' 5'], ['39', ' 16'], ['51', ' 76'], ['79', ' 0'], ['12', ' 5'], ['43', ' 23'], ['67', ' 48'], ['99', ' 50'], ['74', ' 24'], ['25', ' 16'], ['1', ' 1'], ['22', ' 12'], ['21', ' 9'], ['40', ' 7'], ['87', ' 4'], ['18', ' 8'], ['70', ' 9'], ['62', ' 5'], ['73', ' 5'], ['4', ' 7'], ['24', ' 4'], ['17', ' 1'], ['14', ' 3'], ['65', ' 1'], ['34', ' 1'], ['8', ' 1']]","{'55': 255, '85': 465, '59': 474, '31': 354, '13': 564, '56': 23, '82': 82, '7': -1, '90': 110, '33': 32, '48': 203, '97': 204, '58': 215, '15': 236, '91': 44, '29': 164, '78': 15, '42': 154, '28': 142, '46': 1, '75': 120, '50': 57, '52': 49, '83': 75, '44': 69, '95': 69, '38': 5, '39': 16, '51': 76, '79': 0, '12': 5, '43': 23, '67': 48, '99': 50, '74': 24, '25': 16, '1': 1, '22': 12, '21': 9, '40': 7, '87': 4, '18': 8, '70': 9, '62': 5, '73': 5, '4': 7, '24': 4, '17': 1, '14': 3, '65': 1, '34': 1, '8': 1}"
99,99,"[['40', ' 1'], ['26', ' 2'], ['51', ' 102'], ['75', ' 99'], ['56', ' 3'], ['14', ' 19'], ['33', ' 12'], ['77', ' 2'], ['59', ' 105'], ['28', ' 99'], ['85', ' 113'], ['31', ' 80'], ['55', ' 72'], ['12', ' 7'], ['53', ' 3'], ['52', ' 7'], ['98', ' 52'], ['13', ' 37'], ['96', ' 3'], ['42', ' 20'], ['74', ' 9'], ['67', ' 17'], ['50', ' 23'], ['6', ' 5'], ['22', ' 1'], ['4', ' 5'], ['90', ' 7'], ['15', ' 5'], ['62', ' 3'], ['61', ' 1'], ['25', ' 2'], ['17', ' 1']]","{'40': 1, '26': 2, '51': 102, '75': 99, '56': 3, '14': 19, '33': 12, '77': 2, '59': 105, '28': 99, '85': 113, '31': 80, '55': 72, '12': 7, '53': 3, '52': 7, '98': 52, '13': 37, '96': 3, '42': 20, '74': 9, '67': 17, '50': 23, '6': 5, '22': 1, '4': 5, '90': 7, '15': 5, '62': 3, '61': 1, '25': 2, '17': 1}"
