,Agent,Coop_list,Coop_list_dict
13,13,"[['59', ' 34079'], ['31', ' 1716'], ['98', ' 564'], ['85', ' 445'], ['38', ' 6'], ['56', ' 58'], ['82', ' 96'], ['80', ' 7'], ['42', ' 178'], ['90', ' 21'], ['7', ' 2'], ['48', ' 202'], ['97', ' 203'], ['58', ' 241'], ['15', ' 211'], ['91', ' 34'], ['29', ' 181'], ['55', ' 148'], ['22', ' 27'], ['28', ' 117'], ['75', ' 97'], ['16', ' -4'], ['12', ' 1'], ['67', ' 39'], ['50', ' 39'], ['33', ' 24'], ['52', ' 21'], ['74', ' 18'], ['51', ' 55'], ['63', ' 1'], ['77', ' 15'], ['99', ' 37'], ['14', ' 15'], ['36', ' 9'], ['43', ' 11'], ['4', ' 9'], ['24', ' 4'], ['35', ' 1'], ['18', ' 1'], ['70', ' 1'], ['62', ' 1']]","{'59': 34079, '31': 1716, '98': 564, '85': 445, '38': 6, '56': 58, '82': 96, '80': 7, '42': 178, '90': 21, '7': 2, '48': 202, '97': 203, '58': 241, '15': 211, '91': 34, '29': 181, '55': 148, '22': 27, '28': 117, '75': 97, '16': -4, '12': 1, '67': 39, '50': 39, '33': 24, '52': 21, '74': 18, '51': 55, '63': 1, '77': 15, '99': 37, '14': 15, '36': 9, '43': 11, '4': 9, '24': 4, '35': 1, '18': 1, '70': 1, '62': 1}"
14,14,"[['2', ' 0'], ['77', ' 2'], ['97', ' 6'], ['75', ' 43'], ['52', ' 20'], ['50', ' 3'], ['51', ' 25'], ['99', ' 19'], ['28', ' 23'], ['59', ' 15'], ['85', ' 24'], ['74', ' 1'], ['4', ' 16'], ['31', ' 7'], ['55', ' 9'], ['96', ' 7'], ['45', ' 1'], ['13', ' 15'], ['90', ' 22'], ['15', ' 22'], ['24', ' 6'], ['9', ' 6'], ['56', ' 2'], ['70', ' 2'], ['58', ' 4'], ['26', ' 2'], ['6', ' 5'], ['78', ' 1'], ['42', ' 3'], ['98', ' 3'], ['43', ' 3'], ['82', ' 1'], ['62', ' 3'], ['61', ' 1']]","{'2': 0, '77': 2, '97': 6, '75': 43, '52': 20, '50': 3, '51': 25, '99': 19, '28': 23, '59': 15, '85': 24, '74': 1, '4': 16, '31': 7, '55': 9, '96': 7, '45': 1, '13': 15, '90': 22, '15': 22, '24': 6, '9': 6, '56': 2, '70': 2, '58': 4, '26': 2, '6': 5, '78': 1, '42': 3, '98': 3, '43': 3, '82': 1, '62': 3, '61': 1}"
15,15,"[['2', ' 0'], ['23', ' 0'], ['48', ' 191'], ['91', ' 39'], ['54', ' 9'], ['97', ' 199'], ['58', ' 207'], ['98', ' 236'], ['13', ' 209'], ['29', ' 162'], ['4', ' 30'], ['85', ' 46'], ['59', ' 44'], ['31', ' 68'], ['82', ' 2'], ['89', ' 2'], ['55', ' 56'], ['45', ' 1'], ['21', ' 20'], ['42', ' 22'], ['86', ' -4'], ['39', ' 31'], ['90', ' 79'], ['95', ' 14'], ['17', ' 3'], ['14', ' 22'], ['52', ' 27'], ['56', ' 12'], ['83', ' 9'], ['44', ' 9'], ['24', ' 11'], ['9', ' 8'], ['5', ' 3'], ['87', ' 3'], ['28', ' 17'], ['81', ' 5'], ['70', ' 4'], ['26', ' 6'], ['50', ' 4'], ['20', ' 1'], ['75', ' 18'], ['51', ' 11'], ['99', ' 5'], ['43', ' 4'], ['22', ' 2'], ['67', ' 3'], ['62', ' 2'], ['8', ' 1'], ['47', ' 1']]","{'2': 0, '23': 0, '48': 191, '91': 39, '54': 9, '97': 199, '58': 207, '98': 236, '13': 209, '29': 162, '4': 30, '85': 46, '59': 44, '31': 68, '82': 2, '89': 2, '55': 56, '45': 1, '21': 20, '42': 22, '86': -4, '39': 31, '90': 79, '95': 14, '17': 3, '14': 22, '52': 27, '56': 12, '83': 9, '44': 9, '24': 11, '9': 8, '5': 3, '87': 3, '28': 17, '81': 5, '70': 4, '26': 6, '50': 4, '20': 1, '75': 18, '51': 11, '99': 5, '43': 4, '22': 2, '67': 3, '62': 2, '8': 1, '47': 1}"
16,16,"[['13', ' 6'], ['77', ' 4'], ['94', ' 2'], ['40', ' 2']]","{'13': 6, '77': 4, '94': 2, '40': 2}"
17,17,"[['21', ' 1'], ['76', ' 1'], ['32', ' 1'], ['90', ' 5'], ['95', ' 2'], ['15', ' 3'], ['39', ' 0'], ['18', ' 1'], ['35', ' 1'], ['4', ' 5'], ['99', ' 1']]","{'21': 1, '76': 1, '32': 1, '90': 5, '95': 2, '15': 3, '39': 0, '18': 1, '35': 1, '4': 5, '99': 1}"
18,18,"[['70', ' 47'], ['55', ' 20'], ['90', ' 1'], ['51', ' 5'], ['1', ' 4'], ['50', ' 39'], ['4', ' 1'], ['62', ' 45'], ['52', ' 1'], ['76', ' 1'], ['43', ' 1'], ['46', ' 2'], ['71', ' 1'], ['17', ' 1'], ['33', ' 6'], ['67', ' 11'], ['85', ' 6'], ['74', ' 6'], ['75', ' 8'], ['59', ' 7'], ['31', ' 6'], ['98', ' 8'], ['25', ' 4'], ['68', ' 1'], ['58', ' 4'], ['28', ' 3'], ['6', ' 2'], ['42', ' 1'], ['13', ' 1']]","{'70': 47, '55': 20, '90': 1, '51': 5, '1': 4, '50': 39, '4': 1, '62': 45, '52': 1, '76': 1, '43': 1, '46': 2, '71': 1, '17': 1, '33': 6, '67': 11, '85': 6, '74': 6, '75': 8, '59': 7, '31': 6, '98': 8, '25': 4, '68': 1, '58': 4, '28': 3, '6': 2, '42': 1, '13': 1}"
19,19,"[['27', ' 2'], ['75', ' 2']]","{'27': 2, '75': 2}"
20,20,"[['5', ' 1'], ['8', ' 1'], ['51', ' 0'], ['15', ' 1']]","{'5': 1, '8': 1, '51': 0, '15': 1}"
21,21,"[['90', ' 12'], ['24', ' 0'], ['95', ' 3'], ['17', ' 3'], ['15', ' 24'], ['39', ' 10'], ['23', ' 3'], ['31', ' 9'], ['98', ' 9'], ['87', ' 1'], ['12', ' 1'], ['20', ' 1'], ['81', ' 3'], ['47', ' 1'], ['58', ' 1'], ['51', ' 1'], ['67', ' 1'], ['26', ' 1']]","{'90': 12, '24': 0, '95': 3, '17': 3, '15': 24, '39': 10, '23': 3, '31': 9, '98': 9, '87': 1, '12': 1, '20': 1, '81': 3, '47': 1, '58': 1, '51': 1, '67': 1, '26': 1}"
22,22,"[['31', ' 53'], ['56', ' 31'], ['58', ' 51'], ['42', ' 5'], ['13', ' 31'], ['24', ' 1'], ['33', ' 1'], ['85', ' 15'], ['59', ' 14'], ['70', ' 2'], ['26', ' 2'], ['98', ' 11'], ['55', ' 4'], ['28', ' 4'], ['18', ' 1'], ['84', ' -1'], ['29', ' 2'], ['97', ' 2'], ['48', ' 2'], ['15', ' 2'], ['65', ' 1']]","{'31': 53, '56': 31, '58': 51, '42': 5, '13': 31, '24': 1, '33': 1, '85': 15, '59': 14, '70': 2, '26': 2, '98': 11, '55': 4, '28': 4, '18': 1, '84': -1, '29': 2, '97': 2, '48': 2, '15': 2, '65': 1}"
23,23,"[['15', ' 4'], ['21', ' 3'], ['39', ' 3'], ['46', ' 1'], ['81', ' 3'], ['12', ' 1'], ['62', ' 2'], ['36', ' 1']]","{'15': 4, '21': 3, '39': 3, '46': 1, '81': 3, '12': 1, '62': 2, '36': 1}"
24,24,"[['4', ' 25'], ['97', ' 54'], ['22', ' 2'], ['85', ' 2'], ['9', ' 26'], ['21', ' 1'], ['73', ' 1'], ['79', ' 1'], ['15', ' 11'], ['90', ' 6'], ['14', ' 6'], ['52', ' 6'], ['94', ' 1'], ['58', ' 7'], ['29', ' 4'], ['48', ' 4'], ['98', ' 4'], ['13', ' 4'], ['55', ' 1'], ['28', ' 1'], ['59', ' 1']]","{'4': 25, '97': 54, '22': 2, '85': 2, '9': 26, '21': 1, '73': 1, '79': 1, '15': 11, '90': 6, '14': 6, '52': 6, '94': 1, '58': 7, '29': 4, '48': 4, '98': 4, '13': 4, '55': 1, '28': 1, '59': 1}"
25,25,"[['46', ' 2'], ['59', ' 5'], ['98', ' 16'], ['26', ' 1'], ['32', ' 1'], ['94', ' 2'], ['70', ' 1'], ['67', ' 6'], ['12', ' 7'], ['27', ' 1'], ['18', ' 4'], ['36', ' 2'], ['55', ' 2'], ['75', ' 2'], ['31', ' 2'], ['85', ' 2'], ['28', ' 2'], ['51', ' 2'], ['99', ' 2']]","{'46': 2, '59': 5, '98': 16, '26': 1, '32': 1, '94': 2, '70': 1, '67': 6, '12': 7, '27': 1, '18': 4, '36': 2, '55': 2, '75': 2, '31': 2, '85': 2, '28': 2, '51': 2, '99': 2}"
26,26,"[['71', ' 1'], ['50', ' 11'], ['51', ' 7'], ['75', ' 3'], ['77', ' 1'], ['81', ' 1'], ['58', ' 18'], ['25', ' 1'], ['56', ' 4'], ['22', ' 2'], ['70', ' 6'], ['96', ' 1'], ['90', ' 4'], ['4', ' 4'], ['52', ' 4'], ['15', ' 6'], ['14', ' 2'], ['39', ' 5'], ['67', ' 3'], ['21', ' 1']]","{'71': 1, '50': 11, '51': 7, '75': 3, '77': 1, '81': 1, '58': 18, '25': 1, '56': 4, '22': 2, '70': 6, '96': 1, '90': 4, '4': 4, '52': 4, '15': 6, '14': 2, '39': 5, '67': 3, '21': 1}"
27,27,"[['0', ' 2'], ['8', ' 5'], ['78', ' 3'], ['33', ' 1'], ['61', ' 0']]","{'0': 2, '8': 5, '78': 3, '33': 1, '61': 0}"
28,28,"[['75', ' 175'], ['90', ' 24'], ['31', ' 201'], ['85', ' 248'], ['55', ' 205'], ['51', ' 138'], ['59', ' 233'], ['98', ' 142'], ['12', ' 9'], ['13', ' 117'], ['42', ' 86'], ['56', ' 13'], ['99', ' 95'], ['53', ' 2'], ['14', ' 23'], ['81', ' 1'], ['67', ' 48'], ['82', ' 32'], ['50', ' 44'], ['33', ' 29'], ['58', ' 18'], ['74', ' 23'], ['38', ' 1'], ['52', ' 21'], ['96', ' 1'], ['22', ' 4'], ['4', ' 10'], ['48', ' 7'], ['97', ' 8'], ['15', ' 17'], ['29', ' 7'], ['6', ' 7'], ['62', ' 8'], ['43', ' 9'], ['8', ' 1'], ['18', ' 3'], ['70', ' 3'], ['25', ' 2'], ['24', ' 1'], ['9', ' 1'], ['61', ' 1']]","{'75': 175, '90': 24, '31': 201, '85': 248, '55': 205, '51': 138, '59': 233, '98': 142, '12': 9, '13': 117, '42': 86, '56': 13, '99': 95, '53': 2, '14': 23, '81': 1, '67': 48, '82': 32, '50': 44, '33': 29, '58': 18, '74': 23, '38': 1, '52': 21, '96': 1, '22': 4, '4': 10, '48': 7, '97': 8, '15': 17, '29': 7, '6': 7, '62': 8, '43': 9, '8': 1, '18': 3, '70': 3, '25': 2, '24': 1, '9': 1, '61': 1}"
29,29,"[['98', ' 176'], ['58', ' 177'], ['59', ' 28'], ['97', ' 178'], ['48', ' 172'], ['15', ' 172'], ['13', ' 183'], ['91', ' 29'], ['40', ' 1'], ['85', ' 27'], ['31', ' 40'], ['82', ' 1'], ['46', ' 1'], ['55', ' 24'], ['96', ' 1'], ['42', ' 15'], ['33', ' 1'], ['71', ' 1'], ['56', ' 9'], ['28', ' 7'], ['90', ' 8'], ['86', ' 1'], ['24', ' 4'], ['75', ' 4'], ['22', ' 2']]","{'98': 176, '58': 177, '59': 28, '97': 178, '48': 172, '15': 172, '13': 183, '91': 29, '40': 1, '85': 27, '31': 40, '82': 1, '46': 1, '55': 24, '96': 1, '42': 15, '33': 1, '71': 1, '56': 9, '28': 7, '90': 8, '86': 1, '24': 4, '75': 4, '22': 2}"
30,30,"[['12', ' 6'], ['55', ' 14'], ['42', ' 1'], ['75', ' 1'], ['38', ' 1'], ['64', ' 1']]","{'12': 6, '55': 14, '42': 1, '75': 1, '38': 1, '64': 1}"
31,31,"[['13', ' 1708'], ['59', ' 1328'], ['98', ' 352'], ['38', ' 8'], ['85', ' 630'], ['22', ' 45'], ['75', ' 198'], ['82', ' 94'], ['56', ' 70'], ['1', ' 11'], ['90', ' 34'], ['42', ' 160'], ['28', ' 203'], ['55', ' 321'], ['97', ' 47'], ['67', ' 105'], ['39', ' 40'], ['58', ' 88'], ['48', ' 41'], ['12', ' 15'], ['15', ' 68'], ['33', ' 83'], ['50', ' 99'], ['51', ' 123'], ['29', ' 40'], ['74', ' 75'], ['83', ' 5'], ['44', ' 5'], ['95', ' 5'], ['54', ' 1'], ['53', ' 2'], ['99', ' 80'], ['60', ' 6'], ['14', ' 9'], ['52', ' 19'], ['94', ' 1'], ['62', ' 11'], ['21', ' 9'], ['70', ' 11'], ['87', ' 1'], ['43', ' 9'], ['91', ' 5'], ['18', ' 6'], ['11', ' 1'], ['4', ' 6'], ['25', ' 2'], ['6', ' 3']]","{'13': 1708, '59': 1328, '98': 352, '38': 8, '85': 630, '22': 45, '75': 198, '82': 94, '56': 70, '1': 11, '90': 34, '42': 160, '28': 203, '55': 321, '97': 47, '67': 105, '39': 40, '58': 88, '48': 41, '12': 15, '15': 68, '33': 83, '50': 99, '51': 123, '29': 40, '74': 75, '83': 5, '44': 5, '95': 5, '54': 1, '53': 2, '99': 80, '60': 6, '14': 9, '52': 19, '94': 1, '62': 11, '21': 9, '70': 11, '87': 1, '43': 9, '91': 5, '18': 6, '11': 1, '4': 6, '25': 2, '6': 3}"
32,32,"[['55', ' 17'], ['44', ' 1'], ['95', ' 2'], ['47', ' 1'], ['17', ' 1'], ['25', ' 1'], ['94', ' 3'], ['76', ' 1'], ['1', ' 1']]","{'55': 17, '44': 1, '95': 2, '47': 1, '17': 1, '25': 1, '94': 3, '76': 1, '1': 1}"
33,33,"[['67', ' 103'], ['85', ' 122'], ['9', ' 1'], ['50', ' 100'], ['31', ' 84'], ['1', ' 3'], ['54', ' 1'], ['74', ' 87'], ['75', ' 57'], ['59', ' 100'], ['90', ' 3'], ['55', ' 83'], ['12', ' 1'], ['22', ' 1'], ['98', ' 31'], ['42', ' 25'], ['28', ' 29'], ['13', ' 24'], ['51', ' 29'], ['60', ' 1'], ['62', ' 11'], ['70', ' 11'], ['99', ' 11'], ['27', ' 1'], ['18', ' 6'], ['82', ' 3'], ['6', ' 2']]","{'67': 103, '85': 122, '9': 1, '50': 100, '31': 84, '1': 3, '54': 1, '74': 87, '75': 57, '59': 100, '90': 3, '55': 83, '12': 1, '22': 1, '98': 31, '42': 25, '28': 29, '13': 24, '51': 29, '60': 1, '62': 11, '70': 11, '99': 11, '27': 1, '18': 6, '82': 3, '6': 2}"
34,34,"[['75', ' 1'], ['90', ' 3'], ['76', ' 1'], ['98', ' 3'], ['37', ' 1'], ['73', ' 2'], ['87', ' 1'], ['1', ' 1']]","{'75': 1, '90': 3, '76': 1, '98': 3, '37': 1, '73': 2, '87': 1, '1': 1}"
35,35,"[['36', ' 6'], ['17', ' 2'], ['80', ' 1'], ['13', ' 1'], ['40', ' 2']]","{'36': 6, '17': 2, '80': 1, '13': 1, '40': 2}"
36,36,"[['80', ' 4'], ['13', ' 9'], ['87', ' 1'], ['41', ' 0'], ['35', ' 1'], ['94', ' 3'], ['25', ' 2'], ['67', ' 2'], ['12', ' 2'], ['23', ' 1'], ['55', ' 2'], ['76', ' 1']]","{'80': 4, '13': 9, '87': 1, '41': 0, '35': 1, '94': 3, '25': 2, '67': 2, '12': 2, '23': 1, '55': 2, '76': 1}"
37,37,"[['39', ' 18'], ['95', ' 1'], ['83', ' 1'], ['25', ' 1']]","{'39': 18, '95': 1, '83': 1, '25': 1}"
38,38,"[['42', ' 33'], ['9', ' 3'], ['13', ' 12'], ['85', ' 42'], ['51', ' 1'], ['82', ' 8'], ['31', ' 7'], ['59', ' 8'], ['18', ' 1'], ['98', ' 5'], ['55', ' 1'], ['52', ' 2'], ['28', ' 1'], ['63', ' 1'], ['25', ' 1']]","{'42': 33, '9': 3, '13': 12, '85': 42, '51': 1, '82': 8, '31': 7, '59': 8, '18': 1, '98': 5, '55': 1, '52': 2, '28': 1, '63': 1, '25': 1}"
39,39,"[['1', ' 3'], ['31', ' 38'], ['98', ' 18'], ['50', ' 2'], ['55', ' 3'], ['23', ' 1'], ['37', ' -4'], ['15', ' 31'], ['21', ' 10'], ['87', ' 6'], ['90', ' 12'], ['17', ' 2'], ['85', ' 1'], ['64', ' 3'], ['67', ' 4'], ['81', ' 6'], ['58', ' 5'], ['26', ' 5'], ['42', ' 5'], ['51', ' 4']]","{'1': 3, '31': 38, '98': 18, '50': 2, '55': 3, '23': 1, '37': -4, '15': 31, '21': 10, '87': 6, '90': 12, '17': 2, '85': 1, '64': 3, '67': 4, '81': 6, '58': 5, '26': 5, '42': 5, '51': 4}"
40,40,"[['70', ' 7'], ['55', ' 8'], ['53', ' 3'], ['35', ' 1'], ['59', ' 1'], ['98', ' 7'], ['78', ' 1'], ['66', ' 3'], ['42', ' 1'], ['46', ' 1']]","{'70': 7, '55': 8, '53': 3, '35': 1, '59': 1, '98': 7, '78': 1, '66': 3, '42': 1, '46': 1}"
41,41,"[['36', ' 6']]",{'36': 6}
42,42,"[['85', ' 300'], ['82', ' 55'], ['71', ' 13'], ['31', ' 161'], ['55', ' 102'], ['38', ' 21'], ['13', ' 178'], ['59', ' 167'], ['52', ' 56'], ['47', ' -5'], ['22', ' 5'], ['98', ' 154'], ['83', ' 2'], ['90', ' 22'], ['44', ' 1'], ['95', ' 1'], ['28', ' 86'], ['56', ' 13'], ['43', ' 43'], ['75', ' 73'], ['12', ' 1'], ['67', ' 38'], ['50', ' 38'], ['33', ' 25'], ['58', ' 24'], ['74', ' 19'], ['51', ' 38'], ['48', ' 14'], ['97', ' 14'], ['15', ' 22'], ['29', ' 13'], ['9', ' 1'], ['49', ' 1'], ['99', ' 20'], ['73', ' 2'], ['87', ' 5'], ['39', ' 5'], ['40', ' 1'], ['4', ' 7'], ['14', ' 3'], ['89', ' 1'], ['18', ' 1'], ['70', ' 1'], ['62', ' 1']]","{'85': 300, '82': 55, '71': 13, '31': 161, '55': 102, '38': 21, '13': 178, '59': 167, '52': 56, '47': -5, '22': 5, '98': 154, '83': 2, '90': 22, '44': 1, '95': 1, '28': 86, '56': 13, '43': 43, '75': 73, '12': 1, '67': 38, '50': 38, '33': 25, '58': 24, '74': 19, '51': 38, '48': 14, '97': 14, '15': 22, '29': 13, '9': 1, '49': 1, '99': 20, '73': 2, '87': 5, '39': 5, '40': 1, '4': 7, '14': 3, '89': 1, '18': 1, '70': 1, '62': 1}"
43,43,"[['71', ' 3'], ['42', ' 41'], ['85', ' 45'], ['52', ' 28'], ['75', ' 21'], ['98', ' 21'], ['55', ' 15'], ['18', ' 1'], ['82', ' 7'], ['31', ' 9'], ['13', ' 11'], ['59', ' 10'], ['28', ' 9'], ['90', ' 5'], ['15', ' 4'], ['4', ' 4'], ['14', ' 3']]","{'71': 3, '42': 41, '85': 45, '52': 28, '75': 21, '98': 21, '55': 15, '18': 1, '82': 7, '31': 9, '13': 11, '59': 10, '28': 9, '90': 5, '15': 4, '4': 4, '14': 3}"
44,44,"[['83', ' 70'], ['21', ' 1'], ['95', ' 68'], ['90', ' 71'], ['32', ' 1'], ['78', ' 1'], ['42', ' 1'], ['98', ' 75'], ['59', ' 29'], ['85', ' 44'], ['31', ' 5'], ['55', ' 39'], ['71', ' 0'], ['12', ' 1'], ['15', ' 9'], ['60', ' 1'], ['65', ' 1'], ['52', ' 4'], ['4', ' 3']]","{'83': 70, '21': 1, '95': 68, '90': 71, '32': 1, '78': 1, '42': 1, '98': 75, '59': 29, '85': 44, '31': 5, '55': 39, '71': 0, '12': 1, '15': 9, '60': 1, '65': 1, '52': 4, '4': 3}"
45,45,"[['53', ' 11'], ['75', ' 5'], ['95', ' 0'], ['15', ' 1'], ['97', ' 1'], ['14', ' 1'], ['9', ' 1'], ['60', ' 1'], ['71', ' 1'], ['79', ' 1']]","{'53': 11, '75': 5, '95': 0, '15': 1, '97': 1, '14': 1, '9': 1, '60': 1, '71': 1, '79': 1}"
46,46,"[['98', ' 9'], ['25', ' 4'], ['23', ' 1'], ['18', ' 4'], ['78', ' 1'], ['62', ' 2'], ['40', ' 1']]","{'98': 9, '25': 4, '23': 1, '18': 4, '78': 1, '62': 2, '40': 1}"
47,47,"[['42', ' 12'], ['4', ' 3'], ['3', ' 0'], ['97', ' 1'], ['89', ' 4'], ['48', ' 1'], ['80', ' 1'], ['76', ' 1'], ['15', ' 1']]","{'42': 12, '4': 3, '3': 0, '97': 1, '89': 4, '48': 1, '80': 1, '76': 1, '15': 1}"
48,48,"[['15', ' 207'], ['7', ' 0'], ['13', ' 208'], ['97', ' 196'], ['58', ' 197'], ['98', ' 215'], ['29', ' 168'], ['91', ' 43'], ['85', ' 29'], ['59', ' 28'], ['31', ' 43'], ['82', ' 1'], ['55', ' 24'], ['42', ' 14'], ['87', ' 1'], ['56', ' 9'], ['28', ' 7'], ['21', ' 1'], ['90', ' 8'], ['24', ' 4'], ['75', ' 4'], ['22', ' 2']]","{'15': 207, '7': 0, '13': 208, '97': 196, '58': 197, '98': 215, '29': 168, '91': 43, '85': 29, '59': 28, '31': 43, '82': 1, '55': 24, '42': 14, '87': 1, '56': 9, '28': 7, '21': 1, '90': 8, '24': 4, '75': 4, '22': 2}"
49,49,"[['82', ' 6'], ['85', ' 30'], ['51', ' 7'], ['42', ' 2'], ['22', ' 1'], ['94', ' 1'], ['72', ' 1'], ['50', ' 1']]","{'82': 6, '85': 30, '51': 7, '42': 2, '22': 1, '94': 1, '72': 1, '50': 1}"
50,50,"[['18', ' 35'], ['33', ' 95'], ['67', ' 113'], ['85', ' 130'], ['78', ' 4'], ['74', ' 85'], ['14', ' 3'], ['26', ' 5'], ['75', ' 77'], ['71', ' 2'], ['81', ' 2'], ['59', ' 114'], ['31', ' 101'], ['98', ' 57'], ['55', ' 116'], ['90', ' 10'], ['51', ' 49'], ['39', ' 2'], ['12', ' 1'], ['70', ' 48'], ['62', ' 39'], ['42', ' 38'], ['28', ' 44'], ['13', ' 39'], ['77', ' 1'], ['58', ' 15'], ['99', ' 21'], ['82', ' 9'], ['56', ' 7'], ['60', ' 1'], ['83', ' 4'], ['4', ' 5'], ['52', ' 5'], ['15', ' 4'], ['88', ' -1'], ['73', ' 4'], ['87', ' 2'], ['6', ' 2'], ['49', ' 1'], ['69', ' 1']]","{'18': 35, '33': 95, '67': 113, '85': 130, '78': 4, '74': 85, '14': 3, '26': 5, '75': 77, '71': 2, '81': 2, '59': 114, '31': 101, '98': 57, '55': 116, '90': 10, '51': 49, '39': 2, '12': 1, '70': 48, '62': 39, '42': 38, '28': 44, '13': 39, '77': 1, '58': 15, '99': 21, '82': 9, '56': 7, '60': 1, '83': 4, '4': 5, '52': 5, '15': 4, '88': -1, '73': 4, '87': 2, '6': 2, '49': 1, '69': 1}"
51,51,"[['59', ' 161'], ['49', ' -1'], ['56', ' 7'], ['18', ' 5'], ['71', ' 0'], ['38', ' 1'], ['28', ' 136'], ['75', ' 161'], ['99', ' 96'], ['26', ' 9'], ['82', ' 24'], ['85', ' 167'], ['31', ' 123'], ['55', ' 107'], ['12', ' 9'], ['14', ' 23'], ['50', ' 51'], ['77', ' 2'], ['53', ' 2'], ['98', ' 78'], ['42', ' 38'], ['74', ' 23'], ['67', ' 42'], ['13', ' 53'], ['33', ' 29'], ['81', ' 0'], ['96', ' 4'], ['58', ' 10'], ['40', ' 1'], ['70', ' 12'], ['62', ' 8'], ['52', ' 8'], ['20', ' 2'], ['6', ' 5'], ['4', ' 7'], ['90', ' 9'], ['15', ' 11'], ['39', ' 4'], ['25', ' 2'], ['21', ' 1'], ['61', ' 1']]","{'59': 161, '49': -1, '56': 7, '18': 5, '71': 0, '38': 1, '28': 136, '75': 161, '99': 96, '26': 9, '82': 24, '85': 167, '31': 123, '55': 107, '12': 9, '14': 23, '50': 51, '77': 2, '53': 2, '98': 78, '42': 38, '74': 23, '67': 42, '13': 53, '33': 29, '81': 0, '96': 4, '58': 10, '40': 1, '70': 12, '62': 8, '52': 8, '20': 2, '6': 5, '4': 7, '90': 9, '15': 11, '39': 4, '25': 2, '21': 1, '61': 1}"
52,52,"[['53', ' 5'], ['71', ' 4'], ['42', ' 56'], ['85', ' 80'], ['14', ' 18'], ['75', ' 41'], ['90', ' 29'], ['98', ' 49'], ['43', ' 30'], ['2', ' 0'], ['82', ' 15'], ['31', ' 19'], ['55', ' 38'], ['13', ' 21'], ['59', ' 27'], ['22', ' 1'], ['38', ' 2'], ['28', ' 21'], ['77', ' 1'], ['15', ' 27'], ['4', ' 25'], ['56', ' 7'], ['70', ' 7'], ['58', ' 10'], ['26', ' 4'], ['97', ' 6'], ['24', ' 6'], ['9', ' 6'], ['51', ' 8'], ['99', ' 6'], ['50', ' 5'], ['79', ' 0'], ['83', ' 4'], ['44', ' 4'], ['95', ' 4'], ['62', ' 2'], ['96', ' 1']]","{'53': 5, '71': 4, '42': 56, '85': 80, '14': 18, '75': 41, '90': 29, '98': 49, '43': 30, '2': 0, '82': 15, '31': 19, '55': 38, '13': 21, '59': 27, '22': 1, '38': 2, '28': 21, '77': 1, '15': 27, '4': 25, '56': 7, '70': 7, '58': 10, '26': 4, '97': 6, '24': 6, '9': 6, '51': 8, '99': 6, '50': 5, '79': 0, '83': 4, '44': 4, '95': 4, '62': 2, '96': 1}"
53,53,"[['52', ' 12'], ['45', ' 0'], ['75', ' 28'], ['9', ' 1'], ['31', ' 2'], ['85', ' 3'], ['28', ' 2'], ['55', ' 4'], ['12', ' 2'], ['51', ' 2'], ['99', ' 1'], ['59', ' 1'], ['14', ' 1'], ['40', ' 3'], ['97', ' 1'], ['90', ' 1'], ['80', ' 0'], ['11', ' 1'], ['49', ' 1']]","{'52': 12, '45': 0, '75': 28, '9': 1, '31': 2, '85': 3, '28': 2, '55': 4, '12': 2, '51': 2, '99': 1, '59': 1, '14': 1, '40': 3, '97': 1, '90': 1, '80': 0, '11': 1, '49': 1}"
54,54,"[['91', ' 1'], ['15', ' 25'], ['21', ' 1'], ['16', ' 2'], ['33', ' 1'], ['44', ' 1'], ['31', ' 1'], ['55', ' 15'], ['90', ' 13'], ['5', ' 0'], ['86', ' 2'], ['79', ' 1'], ['64', ' 1']]","{'91': 1, '15': 25, '21': 1, '16': 2, '33': 1, '44': 1, '31': 1, '55': 15, '90': 13, '5': 0, '86': 2, '79': 1, '64': 1}"
