,Time,Agent,Strat,Payoff,Run,Coop_list
0,1,0,0.6377687406100192,0,0,"{Agent20: 0, Agent79: 1, Agent10: 3, Agent66: 2, Agent62: 1, Agent84: 1, Agent18: 1, Agent81: 1, Agent21: 1, Agent83: 1, Agent5: 1, Agent65: 1, Agent2: 1, Agent32: 1, Agent50: 2, Agent53: 1, Agent45: 2, Agent96: 2, Agent57: 1, Agent3: 1, Agent78: 1}"
1,1,1,0.603181761176121,6,0,"{Agent28: 3, Agent29: 3, Agent42: 1, Agent91: 2, Agent72: 1, Agent6: 1}"
2,1,2,0.468228632332338,6,0,"{Agent22: 148, Agent96: 132, Agent49: 126, Agent97: 7, Agent29: 127, Agent18: 2, Agent24: 2, Agent64: 1, Agent58: 5, Agent95: 134, Agent38: 134, Agent30: 1, Agent31: 132, Agent48: 2, Agent41: 9, Agent6: 0, Agent25: 2, Agent43: 1, Agent42: 9, Agent86: 136, Agent39: 126, Agent66: 129, Agent63: 136, Agent55: 77, Agent99: 123, Agent0: 2, Agent16: 135, Agent7: 1, Agent4: 1, Agent36: 133, Agent76: 1, Agent85: 5, Agent83: 137, Agent32: 128, Agent72: 115, Agent37: 3, Agent40: 105, Agent65: 8, Agent74: 15, Agent94: 134, Agent13: 142, Agent45: 128, Agent59: 1, Agent20: 1, Agent77: 20, Agent71: 141, Agent10: 135, Agent78: 135, Agent90: 140, Agent84: 3, Agent47: 4, Agent51: 1, Agent35: 12, Agent44: 1, Agent26: 7, Agent3: 1, Agent79: 131, Agent73: 6, Agent57: 1, Agent15: 3, Agent34: 1, Agent70: 1, Agent98: 1}"
3,1,3,0.4035667001171853,1,0,"{Agent97: 139, Agent79: 336, Agent73: 132, Agent65: 35, Agent39: 256, Agent24: 51, Agent22: 634, Agent32: 505, Agent66: 233, Agent83: 288, Agent17: 176, Agent37: 322, Agent28: 171, Agent11: 169, Agent52: 77, Agent4: 89, Agent38: 37, Agent9: 55, Agent20: 117, Agent55: 254, Agent25: 186, Agent34: 226, Agent59: 84, Agent91: 175, Agent31: 131, Agent14: 76, Agent15: 110, Agent85: 0, Agent89: 89, Agent77: 111, Agent49: 168, Agent43: 148, Agent36: 0, Agent5: 131, Agent62: 13, Agent10: 118, Agent78: 188, Agent53: 36, Agent56: 24, Agent84: 12, Agent61: 45, Agent58: 1, Agent57: 33, Agent51: 5, Agent1: 17, Agent81: 1, Agent42: 1, Agent72: 1, Agent27: 2, Agent41: 1, Agent19: 2, Agent16: 4, Agent68: 4, Agent71: 4, Agent70: 3}"
4,1,4,0.5045098885474434,8,0,"{Agent83: 1143, Agent22: 1396, Agent32: 1156, Agent37: 1252, Agent24: 528, Agent79: 1199, Agent97: 1195, Agent25: 331, Agent73: 828, Agent52: 837, Agent17: 581, Agent66: 835, Agent39: 1112, Agent38: 267, Agent34: 743, Agent55: 774, Agent53: 296, Agent56: 52, Agent43: 404, Agent1: 79, Agent91: 402, Agent20: 126, Agent78: 388, Agent31: 349, Agent90: 24, Agent57: 23, Agent72: 9, Agent50: 1, Agent46: 14, Agent51: 30, Agent82: 1, Agent16: 16, Agent86: 1, Agent11: 2, Agent9: 7, Agent54: 23, Agent96: 1, Agent85: 29, Agent60: 8, Agent69: 14, Agent76: 1, Agent98: 30, Agent63: 14, Agent2: 8, Agent87: 0, Agent62: 5, Agent27: 6, Agent92: 28, Agent44: 1, Agent67: 27, Agent74: 6, Agent81: 2, Agent35: 6, Agent7: 6, Agent65: 5, Agent33: 3}"
5,1,5,0.46197365498016574,16,0,"{Agent44: 2, Agent49: 1, Agent22: 0, Agent62: 1, Agent48: 1, Agent27: 2, Agent90: -1, Agent41: 0, Agent61: 1, Agent45: 1, Agent36: 2, Agent29: 1, Agent31: 1, Agent72: 2, Agent65: 2, Agent26: 0, Agent46: 1, Agent6: 1, Agent24: 0, Agent40: 1, Agent55: 1, Agent87: 1, Agent68: 1}"
6,1,6,0.6135194356139091,8,0,"{Agent14: 0, Agent76: 1, Agent68: 1, Agent74: 1, Agent29: 3, Agent31: 1, Agent88: 2, Agent87: 1, Agent51: 2, Agent0: 1, Agent3: 2, Agent11: 1}"
7,1,7,0.42132509043157096,8,0,"{Agent2: 0, Agent16: 1, Agent41: 2, Agent8: 2, Agent73: 2, Agent23: 0, Agent53: 1, Agent40: 1, Agent65: 2, Agent13: 1, Agent54: 1, Agent98: 1, Agent82: 1, Agent86: 1, Agent28: 1, Agent32: 1, Agent80: 1, Agent48: 1, Agent58: 1, Agent91: 1}"
8,1,8,0.4906387816609423,5,0,"{Agent65: 0, Agent66: 3, Agent87: 0, Agent59: 1, Agent69: 3, Agent94: 3, Agent89: 1, Agent32: 1, Agent64: 1, Agent25: 1, Agent55: 1, Agent24: 1, Agent34: 1, Agent35: 1, Agent44: 1, Agent81: 2, Agent49: 1, Agent57: 1, Agent1: 1, Agent62: 1}"
9,1,9,0.5333528157820124,5,0,"{Agent12: 0, Agent66: 1, Agent79: 3, Agent31: 2, Agent27: 1, Agent90: 1, Agent47: 1, Agent19: 1, Agent58: 1, Agent13: 1, Agent99: 1, Agent71: 1}"
10,1,10,0.6762446734934943,8,0,"{Agent32: 2079, Agent48: 894, Agent73: 330, Agent95: 2181, Agent39: 1187, Agent85: 78, Agent79: 2189, Agent53: 329, Agent17: 12, Agent70: 55, Agent44: 63, Agent16: 2176, Agent4: 179, Agent83: 2194, Agent97: 1102, Agent22: 1978, Agent69: 703, Agent37: 1227, Agent31: 1450, Agent42: 1164, Agent66: 1342, Agent86: 2072, Agent28: 1, Agent24: 64, Agent65: 144, Agent3: 88, Agent30: 398, Agent25: 19, Agent26: 414, Agent6: 384, Agent51: 278, Agent52: 392, Agent60: 525, Agent81: 60, Agent43: 675, Agent64: 464, Agent46: 63, Agent57: 3, Agent27: 115, Agent20: 3, Agent1: 120, Agent23: 46, Agent74: 0, Agent98: 38, Agent11: 1, Agent54: 1, Agent96: 27, Agent7: 5, Agent38: 24, Agent50: 20, Agent67: 42, Agent12: 25, Agent76: 25, Agent18: 24, Agent90: 1, Agent68: 1, Agent89: 22, Agent75: 2, Agent14: 12, Agent21: 1, Agent55: 1, Agent71: 1, Agent36: 3, Agent9: 7, Agent58: 1, Agent33: 2, Agent40: 1}"
11,1,11,0.5018747423269561,1,0,"{Agent78: 2, Agent61: 4, Agent45: 4, Agent38: 1, Agent39: 1, Agent22: 1, Agent13: 2, Agent55: 1, Agent24: 1, Agent86: 1, Agent4: 1, Agent64: 1, Agent85: 1, Agent65: 1, Agent18: 1, Agent73: 1, Agent35: 1, Agent87: 1, Agent6: 1, Agent43: 2, Agent71: 1}"
12,1,12,0.4127351377598815,1,0,"{Agent66: 64, Agent36: 41, Agent13: 40, Agent41: 44, Agent40: 46, Agent37: 2, Agent67: 2, Agent69: 1, Agent7: 2, Agent86: 41, Agent10: 5, Agent73: 39, Agent26: 3, Agent16: 7, Agent95: 8, Agent29: 9, Agent8: 1, Agent97: 3, Agent83: 6, Agent11: 2, Agent21: 1, Agent32: 1, Agent27: 3, Agent68: 1, Agent9: 13, Agent52: 6, Agent4: 4, Agent80: 2, Agent1: 3, Agent35: 1, Agent76: 1, Agent89: 1, Agent51: 7, Agent59: 0, Agent93: 1, Agent70: 7, Agent96: 8, Agent48: 4, Agent42: 1, Agent79: 1, Agent43: 1}"
