Time,Agent,Strat,Payoff,Run
1,0,0.6377687406100192,0,0
1,1,0.603181761176121,3,0
1,2,0.529496845725752,1,0
1,3,0.4150389003485167,5,0
1,4,0.5045098885474434,8,0
1,5,0.46197365498016574,0,0
1,6,0.5068149117174532,0,0
1,7,0.42132509043157096,1,0
1,8,0.4906387816609423,6,0
1,9,0.5333528157820124,1,0
1,10,0.6632451540781341,11,0
1,11,0.5018747423269561,11,0
1,12,0.4127351377598815,8,0
1,13,0.6023216816628896,3,0
1,14,0.597068671888038,6,0
1,15,0.40020253654497623,5,0
1,16,0.6638985023872961,0,0
1,17,0.6931141904150613,6,0
1,18,0.4873619595489921,0,0
1,19,0.6608663801758331,5,0
1,20,0.4240590277277331,5,0
1,21,0.5919326993040515,5,0
1,22,0.6808259092908949,6,0
1,23,0.5735935727661765,3,0
1,24,0.48885708618108537,8,0
1,25,0.3402804832273463,0,0
1,26,0.47366873418151345,10,0
1,27,0.5443547893775207,0,0
1,28,0.6652044212951593,10,0
1,29,0.6866425471083035,8,0
1,30,0.4908039106210868,0,0
1,31,0.646123971108656,5,0
1,32,0.40419692415678377,4,0
1,33,0.622011130805209,5,0
1,34,0.5194797215342357,7,0
1,35,0.3056166800656076,10,0
1,36,0.5878818745615817,8,0
1,37,0.4595294168897075,0,0
1,38,0.6299379908592933,3,0
1,39,0.5672612804927404,4,0
1,40,0.30045712772577127,4,0
1,41,0.5212916799464191,8,0
1,42,0.6470411101971123,4,0
1,43,0.3975643507548528,12,0
1,44,0.430081745098956,6,0
1,45,0.6481884928434618,0,0
1,46,0.41023855543553955,5,0
1,47,0.5270042962482687,8,0
1,48,0.6058205510540988,0,0
1,49,0.6870161001160573,3,0
50,0,0.5805584028110257,195,0
50,1,0.44029632450716244,256,0
50,2,0.521287984613853,250,0
50,3,0.4556679928645897,219,0
50,4,0.5045098885474434,210,0
50,5,0.533987331875643,227,0
50,6,0.40389440894247514,239,0
50,7,0.3344473486822284,267,0
50,8,0.4696387280278289,208,0
50,9,0.7152177589074216,215,0
50,10,0.42895173577546125,234,0
50,11,0.6873129437116469,266,0
50,12,0.4127351377598815,232,0
50,13,0.5610827419713594,202,0
50,14,0.35545467560447574,195,0
50,15,0.46741284077812684,222,0
50,16,0.47147048051298446,183,0
50,17,0.5207082977207153,205,0
50,18,0.658630351947635,205,0
50,19,0.4442951100797578,213,0
50,20,0.4240590277277331,236,0
50,21,0.5919326993040515,246,0
50,22,0.6808259092908949,197,0
50,23,0.43540615151046175,193,0
50,24,0.47023933656533573,272,0
50,25,0.690585439709486,253,0
50,26,0.47366873418151345,312,0
50,27,0.4619530434349404,285,0
50,28,0.5984903083458086,201,0
50,29,0.7030078271795768,192,0
50,30,0.38766459830323524,218,0
50,31,0.4937580542048601,220,0
50,32,0.42441537170168375,231,0
