node_id,in_degree,out_degree,weighted_degree,strat,payoff,Run
29,99,98,197,0.6866425471083035,222369,0
90,90,37,127,0.6633743459827174,7292,0
44,81,29,110,0.7077136744166235,6738,0
81,77,32,109,0.7292772230072965,7536,0
83,74,32,106,0.7105485264236779,7196,0
67,99,96,195,0.6113770460000583,115426,1
82,99,93,192,0.6441159115682198,116301,1
76,41,19,60,0.6593118707729579,6670,1
70,41,17,58,0.6648367211868356,8494,1
30,38,18,56,0.5704155565635027,6751,1
59,99,97,196,0.6681321756767715,194312,2
21,89,31,120,0.6121017844192242,9487,2
49,48,20,68,0.7615162779007555,6593,2
0,49,15,64,0.8370710954286549,7363,2
60,38,25,63,0.7032775144197316,7031,2
34,99,96,195,0.6759069232240643,227557,3
67,85,42,127,0.705264666306542,7392,3
69,87,36,123,0.7048864514926848,21971,3
27,71,27,98,0.7541577066861328,6675,3
31,62,30,92,0.7527922896538104,9583,3
79,99,99,198,0.6839470366451805,232362,4
98,85,30,115,0.8446967795653479,33611,4
46,79,29,108,0.8080507978419003,13198,4
88,72,26,98,0.8090795572470246,8439,4
64,50,22,72,0.5869171986827242,6841,4
40,99,99,198,0.7122113141510468,237668,5
65,94,44,138,0.7151781139707205,10132,5
64,63,22,85,0.8068230189473236,7265,5
81,60,24,84,0.678589224053493,7653,5
88,56,22,78,0.6744060333589891,6926,5
78,99,98,197,0.6917024138243708,221622,6
40,79,32,111,0.6857735494153154,7209,6
71,72,38,110,0.6920360016119373,7762,6
36,76,29,105,0.7165063333614048,7037,6
38,79,26,105,0.7378146261478435,7785,6
87,99,98,197,0.6485687896505198,203394,7
93,88,33,121,0.7085333375695999,8488,7
57,67,24,91,0.6765000449334242,6905,7
72,59,23,82,0.5030877228296178,7178,7
63,56,21,77,0.6325795315432902,6747,7
36,99,99,198,0.6784205735846306,253235,8
37,87,33,120,0.6425533618445963,7162,8
18,79,37,116,0.7668936945893383,7146,8
1,82,32,114,0.7208016140085846,7123,8
20,82,31,113,0.5868149228840062,7075,8
23,99,99,198,0.5984380867697714,235211,9
99,85,37,122,0.7852824412192744,17005,9
30,58,25,83,0.8249692945584012,8125,9
41,54,27,81,0.8075202582318772,17620,9
70,52,25,77,0.6515390526702564,6666,9
2,99,98,197,0.5312365204537881,244972,10
3,90,40,130,0.5819436330734661,8889,10
85,54,26,80,0.4657022473006696,6991,10
9,46,16,62,0.6074661179739896,6465,10
53,36,21,57,0.5520544787380725,6415,10
92,99,96,195,0.6090758759091293,246045,11
89,80,50,130,0.6497326390663725,7050,11
53,81,47,128,0.6495673576705494,6613,11
4,78,47,125,0.4368241143199598,6736,11
47,77,47,124,0.6300753297852907,6704,11
44,99,97,196,0.6796852693389251,188476,12
21,70,37,107,0.7061590770439616,6733,12
69,71,34,105,0.7092140498870229,7241,12
91,71,32,103,0.7507861453196245,7084,12
85,74,28,102,0.7528909984475438,6908,12
3,99,95,194,0.6397344645559722,136179,13
14,99,94,193,0.6350626042013192,135130,13
62,62,20,82,0.6946210350734503,6751,13
8,61,17,78,0.7186242819344097,6742,13
60,52,16,68,0.6455761489123444,7350,13
1,99,99,198,0.5810342095947422,227794,14
81,76,35,111,0.7173770795035641,6558,14
29,68,37,105,0.5155543766014891,6859,14
43,78,26,104,0.6790239901528954,6579,14
62,69,30,99,0.5478297503465714,7067,14
76,99,99,198,0.6777997978182311,210802,15
7,83,43,126,0.6093672202395151,17030,15
24,75,44,119,0.5147990292847171,6952,15
5,73,43,116,0.6579463407868382,6764,15
90,68,46,114,0.6489688136770749,7314,15
36,99,97,196,0.6161324799245051,221082,16
4,83,36,119,0.7892110746694374,6911,16
1,77,37,114,0.6631131603615141,6967,16
84,76,36,112,0.6960736363939477,6474,16
61,76,32,108,0.579808532862929,7502,16
90,99,98,197,0.6832818008191642,216964,17
17,78,38,116,0.7024670421725475,7013,17
50,71,38,109,0.72579519084072,11273,17
8,66,37,103,0.5217365764202778,30354,17
28,57,41,98,0.6727963455597469,6905,17
38,99,98,197,0.6691813543461465,207362,18
8,91,35,126,0.711449084146005,7379,18
84,71,26,97,0.8410043464510316,6576,18
6,63,29,92,0.6432225257541743,6814,18
32,52,31,83,0.6617152792632863,20356,18
90,99,96,195,0.5610195347361915,207570,19
4,81,29,110,0.6461173784427389,6723,19
59,69,28,97,0.6097276166195545,6859,19
23,57,15,72,0.5207414498956371,6811,19
10,51,20,71,0.6572141711407437,6545,19
11,99,98,197,0.6975352051109318,232778,20
93,88,35,123,0.6113606390395067,7023,20
12,83,36,119,0.7985272128888341,8130,20
95,80,31,111,0.7446918862476645,6685,20
38,76,29,105,0.7855912910361124,7095,20
33,99,93,192,0.5208011499895395,237419,21
14,84,38,122,0.5231237226617547,7280,21
82,78,35,113,0.5683174854349737,7069,21
89,74,38,112,0.5843384138347842,23709,21
