node_id,in_degree,out_degree,weighted_degree,strat,payoff,Run
59,99,95,194,0.5189763645313695,184560,0
62,77,33,110,0.5632137972195126,6918,0
8,82,27,109,0.5591912443433004,7385,0
23,76,31,107,0.7120688091956968,6929,0
4,77,29,106,0.5233530908387181,7206,0
14,99,94,193,0.4781548776219206,208688,1
94,75,42,117,0.6383674395940758,9138,1
58,78,35,113,0.3826232328036587,6808,1
91,65,27,92,0.5068057499212482,6442,1
90,53,32,85,0.6569558018822719,6963,1
15,99,98,197,0.6979278251798969,210942,2
86,88,37,125,0.7257476944672621,8072,2
97,84,34,118,0.6928824955414772,8350,2
35,77,29,106,0.6606943295342376,7639,2
80,70,34,104,0.6783271054868032,7798,2
48,99,98,197,0.6279587017419104,157554,3
5,92,41,133,0.9415334615001484,7414,3
7,80,39,119,0.6670236301194018,21103,3
49,80,32,112,0.8950718676303764,7676,3
92,75,32,107,0.6493868368967523,7329,3
83,99,94,193,0.6100957740900594,193378,4
81,81,35,116,0.6604810525235247,7151,4
50,83,32,115,0.6557773122057201,7078,4
0,78,33,111,0.6262810322077552,6994,4
48,81,30,111,0.4707250231975666,7513,4
56,99,98,197,0.5818676536563637,188083,5
52,86,32,118,0.557413543100629,6930,5
4,80,35,115,0.5692441328732967,40810,5
8,73,29,102,0.4366384445590724,7172,5
63,74,25,99,0.4450457242539412,7957,5
71,99,91,190,0.699951438572281,128427,6
90,99,90,189,0.5986063560252777,131031,6
13,90,18,108,0.7499283036171338,7252,6
36,70,30,100,0.7072233026042275,7357,6
61,67,29,96,0.7312949855633113,7218,6
30,99,96,195,0.5555653875704736,204244,7
3,86,30,116,0.8039554184429291,6927,7
72,82,26,108,0.7191216348585769,7325,7
25,78,30,108,0.6526360619583911,8123,7
66,73,34,107,0.5582050989694558,7093,7
95,99,95,194,0.6230799285664019,195320,8
58,96,38,134,0.7158314548012363,7675,8
90,65,22,87,0.7428895068209036,7304,8
66,62,20,82,0.6121837229053416,7047,8
74,54,22,76,0.7127724766488752,7712,8
3,99,97,196,0.6466247399945366,135247,9
31,74,39,113,0.6997163363212091,7528,9
26,74,38,112,0.7100450522779287,7333,9
83,77,34,111,0.536031922603142,7215,9
75,76,35,111,0.7200787455830447,7307,9
54,99,98,197,0.6102050804291312,194539,10
7,90,32,122,0.6616436438475095,7689,10
1,80,32,112,0.6406738503229318,9585,10
47,60,25,85,0.5703836391527354,7360,10
80,52,22,74,0.6270068416690129,7291,10
37,99,96,195,0.6982766566624796,204943,11
48,96,39,135,0.7536227654524591,9225,11
54,85,20,105,0.7806968104397978,7422,11
24,70,32,102,0.6701585099623868,7492,11
19,71,25,96,0.6733027389334116,7763,11
53,99,98,197,0.5695091286596734,172769,12
93,89,30,119,0.6330252930941046,8187,12
3,86,29,115,0.5769352639103922,7787,12
68,60,26,86,0.6328596907480242,7019,12
1,58,27,85,0.5989226418962896,7255,12
66,99,91,190,0.6224381110016424,85481,13
27,99,89,188,0.6399756051123973,89242,13
11,85,31,116,0.7293443140045036,7014,13
61,59,30,89,0.5941664904222962,7224,13
0,57,28,85,0.6204191313454142,7221,13
91,99,94,193,0.6744520419973561,134630,14
3,99,89,188,0.6761409558264472,122870,14
76,69,27,96,0.7675408298677967,8594,14
44,61,26,87,0.5166212088508615,7533,14
54,47,28,75,0.6753779414167278,8186,14
0,99,97,196,0.6860968566208492,208445,15
55,95,34,129,0.7184972692304764,8256,15
52,88,31,119,0.7543719232046903,7833,15
83,83,24,107,0.7700711497793937,7410,15
64,76,25,101,0.6130679224969464,8236,15
77,99,96,195,0.6762308145963025,210232,16
80,85,39,124,0.6361832813153123,7530,16
89,81,41,122,0.6412868324089933,7168,16
40,82,38,120,0.7051182786368106,7130,16
61,79,40,119,0.8177427118642779,7607,16
31,99,95,194,0.675910418804686,131046,17
65,86,40,126,0.6012911891813034,7841,17
15,87,39,126,0.824184156446024,6927,17
36,84,41,125,0.7960411148133141,7894,17
