node_id,in_degree,out_degree,weighted_degree,strat,payoff,Run
95,99,98,197,0.6667764871789825,249181,0
58,88,47,135,0.5645153872216779,6905,0
68,70,45,115,0.6889010439897103,6288,0
14,69,42,111,0.6663351767905263,6644,0
87,66,43,109,0.7121104136856201,6833,0
22,99,97,196,0.6570855149273712,269621,1
44,90,48,138,0.6105051126916474,7133,1
93,74,46,120,0.6250186219860323,6370,1
69,74,45,119,0.8412381940154459,6204,1
45,74,43,117,0.644194506343391,7542,1
39,99,97,196,0.6626374599590243,250096,2
14,77,41,118,0.6557381719480843,6865,2
63,84,28,112,0.7547073939189407,8057,2
40,66,31,97,0.6803034833417003,6651,2
3,65,31,96,0.5900970806044223,6599,2
56,99,95,194,0.6442550132465072,247316,3
79,78,37,115,0.7294496215567013,7752,3
61,61,25,86,0.5945225926078552,7405,3
9,62,22,84,0.7758242434358937,7778,3
39,48,22,70,0.7168872372334627,6101,3
27,99,97,196,0.5686805826065893,273272,4
40,81,37,118,0.5719286162897594,6287,4
9,65,43,108,0.5825496801964988,6141,4
31,68,40,108,0.5647711389716223,5902,4
84,65,41,106,0.623205420588669,7114,4
8,99,99,198,0.6773426867993255,298732,5
23,82,37,119,0.7913687566289263,7000,5
7,84,30,114,0.7610221663209584,6757,5
79,63,27,90,0.7375690970092117,7429,5
80,59,24,83,0.6539255077425877,6551,5
42,99,99,198,0.6222019687404949,262404,6
30,88,42,130,0.5997042272869834,7572,6
35,65,27,92,0.7150864297571673,6913,6
80,52,19,71,0.6588675839673489,6318,6
76,36,13,49,0.6234195351874319,65376,6
16,99,94,193,0.5509732889622357,176032,7
30,99,91,190,0.5555653875704736,162330,7
65,35,16,51,0.6748864154599288,5683,7
43,37,13,50,0.5498126165563996,5812,7
34,38,9,47,0.7268232204850021,5873,7
6,99,98,197,0.6996514156650316,201862,8
83,73,32,105,0.7232625088053597,7101,8
42,67,34,101,0.7859433253082589,115331,8
80,45,19,64,0.7972573121014671,7516,8
30,39,19,58,0.7125797283822773,6566,8
99,99,99,198,0.6136395098422877,275218,9
2,75,39,114,0.5751711421770979,6615,9
13,71,41,112,0.5023295262296056,7544,9
52,73,28,101,0.6869312465527116,6794,9
95,70,22,92,0.5269243509610968,6266,9
58,99,98,197,0.6790775696893963,276946,10
5,86,44,130,0.6899427927422711,15578,10
30,79,34,113,0.8802985836209007,7000,10
74,76,35,111,0.6765194467443757,6774,10
96,77,32,109,0.7190771499460872,7018,10
80,99,93,192,0.6883716224874766,179211,11
36,99,93,192,0.6990624801852338,178826,11
6,42,15,57,0.6836267643177836,6519,11
56,46,11,57,0.7363591077507416,6178,11
22,40,13,53,0.6392646490452578,9745,11
