node_id,in_degree,out_degree,weighted_degree,strat,payoff,Run
74,95,42,137,0.3307994669812873,7790,0
5,98,37,135,0.2614453781417231,7985,0
36,96,37,133,0.19787275737650428,7675,0
65,99,30,129,0.21745913579372994,8245,0
6,91,34,125,0.1289121121745691,8053,0
42,94,25,119,0.3059114950061977,7666,1
56,98,20,118,0.024342914122367013,8866,1
63,92,23,115,0.17534241490777835,7801,1
24,83,20,103,0.2914593758998743,7341,1
4,66,21,87,0.5224716641250563,7264,1
79,99,37,136,0.2098468176049325,8458,2
25,99,29,128,0.2510808181326505,8337,2
38,97,20,117,0.20736218007160293,8427,2
9,96,21,117,0.37774199173517103,7416,2
11,77,33,110,0.2892008203878025,7554,2
1,90,27,117,0.14326052026385014,7383,3
70,85,25,110,0.037131425022813073,7624,3
79,88,21,109,0.12142839772260758,7329,3
11,83,24,107,0.01021273340848572,7256,3
74,82,24,106,0.21378474151162274,7084,3
24,99,25,124,0.10761012615976133,8044,4
81,92,25,117,0.04791778995992905,8118,4
57,91,25,116,0.3969541157915394,7283,4
64,87,16,103,0.2189573106979452,7411,4
88,79,24,103,0.4121544789984397,7750,4
39,96,31,127,0.5043779681237648,6323,5
48,83,26,109,0.4972979287630229,6410,5
89,82,25,107,0.2329511108935777,6477,5
86,73,25,98,0.1995951366227129,6847,5
70,80,17,97,0.1511719120201604,6587,5
63,96,39,135,0.4281988398332608,7481,6
54,97,35,132,0.10050096521683702,8030,6
37,95,36,131,0.20811329571264406,7622,6
20,94,33,127,0.3248542875716254,7570,6
43,91,32,123,0.2525820620916143,7032,6
70,97,42,139,0.18926655653789656,7835,7
40,93,44,137,0.30469707892592435,7492,7
50,92,44,136,0.42095737883448203,7594,7
66,91,44,135,0.48109530015006496,7321,7
99,80,44,124,0.5069416847046179,7249,7
98,94,10,104,0.038039684303528186,7222,8
84,86,8,94,0.4334057674364317,6403,8
42,77,11,88,0.18620818321395555,6468,8
61,60,13,73,0.4717596920339342,6514,8
8,55,10,65,0.21696623113284846,6641,8
61,99,30,129,0.21048361148838546,7701,9
98,79,16,95,0.2657995524357452,7158,9
29,64,23,87,0.2669505608053867,7007,9
97,71,16,87,0.2539154336641382,7262,9
12,64,21,85,0.3752620942389029,7037,9
19,99,23,122,0.23742003419062024,8022,10
10,77,18,95,0.35196882410854763,7597,10
45,70,21,91,0.2942475946590346,7763,10
0,63,23,86,0.26987744992739515,7815,10
32,64,17,81,0.2573463664494886,7641,10
44,99,22,121,0.22699434888374,8629,11
49,88,28,116,0.22815152152796606,8192,11
47,81,23,104,0.4427879909684278,8368,11
97,79,25,104,0.2569936054592902,8311,11
53,73,26,99,0.2172716807161702,8018,11
80,99,19,118,0.06844046277655458,7142,12
67,69,28,97,0.3436283859531608,6281,12
89,58,27,85,0.3533707748361448,6117,12
87,63,21,84,0.34679368609571576,6754,12
64,57,23,80,0.38111219850623695,6941,12
59,99,29,128,0.12890864448364112,7233,13
53,98,29,127,0.16696572083099356,7524,13
26,97,30,127,0.4343962788733816,7323,13
48,90,23,113,0.1304280311904607,7269,13
65,86,23,109,0.43192190362176597,6660,13
39,99,42,141,0.2574615986186012,8088,14
5,78,40,118,0.5164482719552299,7608,14
47,73,36,109,0.2764489375469946,7632,14
72,73,35,108,0.3109072342104159,7292,14
81,72,33,105,0.40663821466280425,7661,14
28,99,41,140,0.1874597265917266,8184,15
14,97,37,134,0.38250818648163104,7758,15
95,87,45,132,0.35139000226553385,7457,15
42,99,32,131,0.279723640437029,8168,15
92,85,41,126,0.44270931694003424,7929,15
95,84,22,106,0.35441757723473205,6546,16
64,83,17,100,0.013715235905994673,7243,16
73,71,15,86,0.2250050352510453,6693,16
54,62,22,84,0.3322340036807329,6631,16
37,65,14,79,0.17247573990396006,6844,16
66,99,34,133,0.3181288965696002,8164,17
11,99,30,129,0.18952251583535856,8647,17
46,96,33,129,0.34289455450730666,8025,17
72,99,19,118,0.17192866673855975,8619,17
64,81,35,116,0.5197867322248354,7735,17
51,99,28,127,0.19012809689779825,7768,18
58,96,25,121,0.461553123771673,7104,18
55,91,30,121,0.35131979281695624,7327,18
45,92,26,118,0.4149093008261288,7190,18
53,85,29,114,0.1582338586056664,7703,18
4,99,23,122,0.29267778984037923,7963,19
10,78,20,98,0.1356155039102419,7903,19
29,67,22,89,0.20878584722037904,7974,19
92,63,22,85,0.23701992397045415,7563,19
43,63,14,77,0.5560890153495478,7578,19
25,96,39,135,0.4723174375141071,7204,20
2,93,42,135,0.33421953392781306,7192,20
73,98,36,134,0.0646025577461572,7468,20
15,90,44,134,0.3562202885041012,6816,20
59,96,36,132,0.2828702668563783,6967,20
3,99,27,126,0.2548960564797965,8152,21
70,88,29,117,0.2587616340121282,7895,21
32,90,25,115,0.4203749631760971,7687,21
51,80,32,112,0.4274958860935155,7678,21
33,87,23,110,0.2974502004027337,7286,21
48,98,33,131,0.6226852958819393,8142,22
17,98,32,130,0.5012546089828168,8515,22
42,97,30,127,0.026151387884128182,9401,22
92,97,30,127,0.5452288505103025,7653,22
4,95,29,124,0.5643732047266711,8444,22
43,99,33,132,0.3394416791979743,8936,23
12,88,28,116,0.3998973203874516,8594,23
27,92,22,114,0.34840080774694965,8434,23
49,84,23,107,0.28867384727583395,8640,23
75,66,33,99,0.2941636171664668,8415,23
59,98,42,140,0.3573993349539081,7085,24
4,96,42,138,0.24465526459769624,6860,24
68,96,41,137,0.31148415700711385,6765,24
73,96,39,135,0.18071967710258716,7085,24
46,93,41,134,0.3040911815605881,7202,24
72,99,22,121,0.21100807231761504,7989,25
39,79,13,92,0.3129030910426081,7040,25
98,66,17,83,0.34327506678883324,7006,25
62,62,21,83,0.21544417480848907,7641,25
47,61,19,80,0.31457306174636307,7261,25
93,98,34,132,0.14019667166359034,7771,26
85,93,37,130,0.19312150528910385,7050,26
35,89,35,124,0.23876036517452945,7148,26
7,87,35,122,0.19931550170532794,7393,26
76,91,31,122,0.07252907277651124,7824,26
66,99,18,117,0.2615230091521541,7445,27
90,91,18,109,0.4582730878320338,6830,27
81,81,17,98,0.4268286611888679,6941,27
86,80,18,98,0.31910889984840984,7289,27
24,74,19,93,0.11736695385056292,7436,27
43,92,44,136,0.21619309605722994,7496,28
54,96,36,132,0.40880674699287134,6842,28
92,99,32,131,0.2161681524412171,7922,28
81,88,41,129,0.1844154152750162,7602,28
70,88,38,126,0.4514592066658234,7424,28
44,99,27,126,0.251723498365721,8975,29
23,86,22,108,0.36468916886761055,8084,29
95,77,25,102,0.577077679058323,8053,29
9,77,24,101,0.6232784701335249,8063,29
18,72,15,87,0.5440717856440487,7469,29
74,94,35,129,0.4702502337976617,7888,30
37,89,36,125,0.4513564783426226,8204,30
50,99,25,124,0.25574253863555113,8747,30
62,93,29,122,0.2430082714167803,8682,30
13,83,31,114,0.4305302849833057,8224,30
47,99,26,125,0.260505430721232,7484,31
26,85,24,109,0.2547057024450285,7422,31
25,72,21,93,0.28420157782772304,7020,31
63,67,23,90,0.21283381820512606,7354,31
31,65,20,85,0.30932062002276944,7342,31
27,99,27,126,0.09907327092805346,7811,32
88,96,20,116,0.3430371063520229,7088,32
80,83,24,107,0.1094384403287028,7783,32
87,79,20,99,0.1721274851882888,7489,32
20,67,18,85,0.2661820875106432,6919,32
31,94,48,142,0.15080160574013518,7703,33
18,98,43,141,0.09937990245624788,7780,33
96,99,39,138,0.2227290433303233,7691,33
53,96,41,137,0.5359756457252929,7212,33
69,91,36,127,0.20959084550625068,7561,33
88,99,29,128,0.22431368128448612,7711,34
48,82,27,109,0.24838299138971,7407,34
58,73,24,97,0.384561596298994,7395,34
80,69,25,94,0.2576581596528291,7588,34
60,61,28,89,0.3769496736825033,7389,34
37,96,30,126,0.10975556303942056,7049,35
28,97,26,123,0.26421927811793905,6729,35
55,99,23,122,0.03865892785036598,7092,35
2,91,28,119,0.13378944972063006,6682,35
52,92,19,111,0.050353504516329896,7114,35
90,85,23,108,0.014452929748913575,7461,36
67,85,22,107,0.1121141495515182,6706,36
81,72,19,91,0.34592531058381143,6988,36
89,65,25,90,0.4050144923241105,6839,36
91,70,19,89,0.2517784988873377,6317,36
94,99,24,123,0.2129840668111389,6825,37
89,96,24,120,0.2840204840082388,7285,37
59,95,23,118,0.17730146190501195,6932,37
57,93,18,111,0.07416437823712388,7555,37
99,48,17,65,0.30142075699123144,7009,37
6,99,19,118,0.17229837308073204,7415,38
67,64,24,88,0.2843578441787638,7154,38
10,70,16,86,0.2834353384379892,6853,38
59,68,18,86,0.4020731194605729,6622,38
15,59,19,78,0.21503990207493606,7019,38
8,99,36,135,0.37131921040682936,9405,39
73,87,35,122,0.7171363448171391,8416,39
17,89,30,119,0.3654909630958574,8663,39
62,91,27,118,0.456537028060565,8853,39
65,85,31,116,0.5622456584092628,8645,39
82,99,24,123,0.2455412596791853,7646,40
81,88,26,114,0.14380547401533447,7490,40
67,86,21,107,0.16550575364734982,7662,40
2,84,23,107,0.2270487050194405,7568,40
15,69,29,98,0.28462033823802363,7319,40
19,93,36,129,0.30798165082700285,7234,41
72,92,34,126,0.4398233921161031,8007,41
17,99,26,125,0.09399586900441834,8426,41
5,89,35,124,0.2730357884225326,7392,41
13,84,34,118,0.3446123284205251,7746,41
29,98,26,124,0.1695620166049581,7534,42
75,99,25,124,0.18538831452334809,7483,42
32,70,25,95,0.3311846088202921,7285,42
12,65,28,93,0.3849947490701904,7170,42
56,77,15,92,0.17198987423693868,7348,42
66,99,31,130,0.1780334176824025,7405,43
30,99,28,127,0.1364856273272481,7363,43
22,66,31,97,0.22067107906740585,6803,43
42,61,30,91,0.23528643387093295,7029,43
58,75,15,90,0.31596950598150714,7007,43
81,99,13,112,0.16003413801245653,7889,44
12,91,14,105,0.4701486535967379,7699,44
95,65,11,76,0.13851380285045067,7493,44
50,58,14,72,0.16332636332224018,7550,44
65,54,13,67,0.16508268254479902,7218,44
70,99,32,131,0.1970859813247791,7554,45
87,99,22,121,0.25968633486843284,7484,45
6,97,22,119,0.2429180234587553,7444,45
2,88,24,112,0.12215932028666325,7732,45
81,81,31,112,0.23426307058051124,7152,45
33,99,24,123,0.21198539914900988,7574,46
16,83,27,110,0.2655848033513171,7250,46
44,84,15,99,0.11158341545443012,7545,46
57,61,29,90,0.22380649649125384,6868,46
0,65,22,87,0.08816659573726443,7532,46
8,99,39,138,0.2881382264199266,8593,47
76,99,30,129,0.28360321188832177,8646,47
37,92,31,123,0.2522607570098037,8118,47
21,92,31,123,0.3632004464857097,8005,47
19,80,28,108,0.18122688089920674,8619,47
10,98,20,118,0.0572002275664785,7459,48
99,78,19,97,0.21890773605452332,6867,48
85,73,21,94,0.2880253040041691,6966,48
70,63,19,82,0.2424513876222556,6719,48
91,66,16,82,0.2948530638883762,6693,48
91,98,30,128,0.1522242504577957,7703,49
14,92,30,122,0.1104593068803594,7361,49
33,93,29,122,0.18368253011721025,7402,49
5,99,21,120,0.15717396713498918,7695,49
25,84,34,118,0.13140571121504158,7440,49
