node_id,in_degree,out_degree,weighted_degree,strat,payoff,Run
49,99,99,198,0.6870161001160573,314380,0
43,83,43,126,0.6455140850543019,37082,0
9,78,31,109,0.6739443905343989,11070,0
42,43,16,59,0.6604767770737112,5828,0
81,39,17,56,0.7833252353347717,6683,0
58,99,98,197,0.6189616990217212,341558,1
46,89,39,128,0.5749566753215817,7144,1
1,81,31,112,0.5126733817936743,8460,1
33,62,20,82,0.6797272869293095,9631,1
66,35,18,53,0.6950027057849564,7786,1
35,99,98,197,0.6279651887561098,330222,2
84,84,33,117,0.5223595639266541,7135,2
1,73,32,105,0.6443271574597621,6220,2
70,69,28,97,0.6294999805326493,6282,2
68,40,25,65,0.7174692587091204,6027,2
10,99,97,196,0.5963979129611586,235480,3
60,59,28,87,0.6336109382987938,6455,3
95,56,26,82,0.5680448953866131,145554,3
55,53,24,77,0.6487855576428592,6134,3
35,44,18,62,0.6177738416068864,6755,3
64,99,98,197,0.6617260406122631,297754,4
63,77,42,119,0.8058114567033621,6198,4
24,79,36,115,0.6837429211230682,7528,4
45,73,37,110,0.7021222003142094,6279,4
76,71,33,104,0.7176335522416487,6873,4
8,97,85,182,0.6773426867993255,181320,5
3,97,82,179,0.6769801135108202,168310,5
15,35,10,45,0.6395117898489716,5466,5
76,29,15,44,0.6492775928943741,5985,5
40,30,8,38,0.6356483785588823,6230,5
60,99,95,194,0.5792894975010768,304148,6
29,75,39,114,0.4948121299193373,6041,6
28,71,34,105,0.6075783240648795,8405,6
2,69,36,105,0.5650005014913841,5988,6
48,70,34,104,0.6076078082629701,7930,6
60,99,98,197,0.6501911247323553,332773,7
39,88,39,127,0.6297605152096062,6493,7
55,60,24,84,0.6597521003576284,7082,7
32,57,27,84,0.7091542511904839,7055,7
10,56,26,82,0.6601269208971603,6333,7
32,99,97,196,0.660549984001864,317440,8
37,83,39,122,0.7004820478744233,6315,8
39,80,29,109,0.6971943942401438,6347,8
96,69,28,97,0.8303199647115691,6974,8
14,64,28,92,0.61463376342564,5997,8
19,99,99,198,0.6695319145649182,325660,9
57,82,43,125,0.6724110353871744,6921,9
59,86,39,125,0.6918107472847234,6433,9
79,80,40,120,0.6433445367887181,7694,9
80,76,40,116,0.6806005391628376,6046,9
58,99,97,196,0.6790775696893963,206357,10
50,67,30,97,0.6425496514675096,6190,10
61,63,31,94,0.6710507240208299,6123,10
53,64,29,93,0.673259270247602,5796,10
14,62,29,91,0.7222866031984372,6092,10
5,99,96,195,0.5375460418111557,265121,11
30,68,33,101,0.5813350021971909,5309,11
44,59,30,89,0.4986898367981618,5632,11
75,62,25,87,0.5402718697137121,5756,11
1,52,33,85,0.5290757083023295,5344,11
98,99,99,198,0.693526027682281,272969,12
73,84,37,121,0.64995722597784,6762,12
84,82,34,116,0.8219426010271489,6524,12
11,59,17,76,0.7072592633429219,6101,12
75,52,23,75,0.6828229802341157,5932,12
77,99,98,197,0.5658567538393575,288236,13
40,73,29,102,0.5924790882633575,6148,13
22,61,28,89,0.610283830033037,5831,13
46,63,24,87,0.5554869918059456,6979,13
98,60,22,82,0.5713031570120289,5806,13
74,99,88,187,0.6775729238606716,195627,14
73,95,81,176,0.581957463639041,165636,14
21,39,6,45,0.6304581739109671,5914,14
51,30,12,42,0.7375450247472506,5456,14
80,29,9,38,0.5684465840022215,7539,14
71,99,97,196,0.6711932598583377,323217,15
90,82,43,125,0.6854182735928359,6576,15
75,62,30,92,0.7268196257155696,6925,15
85,57,27,84,0.7135780814073551,6234,15
7,57,25,82,0.6879806056189149,6141,15
97,99,98,197,0.6699740289664056,333181,16
78,91,41,132,0.7065176841083078,12472,16
71,54,25,79,0.6483952587802978,7804,16
62,41,15,56,0.8794861209827465,6373,16
26,31,18,49,0.7812886964800749,6982,16
67,99,98,197,0.4952900223933631,284584,17
39,66,32,98,0.4446823330584659,10259,17
41,68,27,95,0.5655111094969554,6129,17
26,69,24,93,0.5204052562261758,6285,17
64,60,31,91,0.514829123103318,5505,17
95,99,96,195,0.6575393192764838,267641,18
54,64,28,92,0.5445992926732428,6390,18
7,67,24,91,0.5806975689608499,5836,18
42,64,27,91,0.7684939112164698,10088,18
49,64,25,89,0.7550155676696803,6558,18
33,99,99,198,0.6815660071563514,324617,19
99,78,35,113,0.7659866910490227,6128,19
61,69,34,103,0.6470384578426569,6116,19
47,69,29,98,0.638758671020934,6565,19
4,70,27,97,0.6454929317369705,6147,19
59,99,96,195,0.5077953046363486,320788,20
26,69,30,99,0.6375246430743993,6992,20
67,56,23,79,0.8020341046231376,6920,20
66,39,19,58,0.5562241520372843,5673,20
65,36,18,54,0.5612412432093294,5332,20
63,99,91,190,0.6971293627691024,143794,21
68,99,85,184,0.6676611554514149,145663,21
64,26,9,35,0.7596764298923417,5544,21
65,22,11,33,0.7085835573136657,5988,21
74,27,6,33,0.7705964473450629,5866,21
13,98,93,191,0.6728350417375513,177943,22
31,97,91,188,0.6826868098770922,179675,22
84,33,15,48,0.6620682830624793,6079,22
34,32,9,41,0.6549546196640704,33166,22
93,32,9,41,0.7775335239669044,6128,22
96,99,98,197,0.6484323624998805,282686,23
55,81,39,120,0.5959556278704279,6454,23
90,71,34,105,0.6893878725992756,6222,23
92,62,31,93,0.5765419345432299,6296,23
95,57,25,82,0.639565135962178,6183,23
3,99,98,197,0.6993130510071803,341928,24
56,78,34,112,0.7658309231734244,6583,24
12,74,32,106,0.7123233444706416,6351,24
16,70,33,103,0.7420724078311266,7525,24
22,71,26,97,0.8007340467614297,7283,24
11,99,99,198,0.5354056056101038,301217,25
26,67,31,98,0.5226006468529915,7059,25
71,58,29,87,0.5664632243858716,6328,25
21,52,16,68,0.5722040196115137,16478,25
93,24,14,38,0.6027985163768594,6678,25
11,99,97,196,0.681493059523254,347072,26
63,83,36,119,0.7106751812352865,6587,26
30,78,37,115,0.666738047144047,7945,26
95,80,33,113,0.7585182623229968,6828,26
22,84,29,113,0.7816003744725877,6002,26
23,99,96,195,0.5570992335036717,303947,27
33,53,33,86,0.5533091424445964,5659,27
61,45,38,83,0.6262180872029011,5851,27
85,47,32,79,0.6576622121646059,5318,27
26,45,34,79,0.5548484642599665,5556,27
39,99,96,195,0.6054965073935554,266201,28
34,70,32,102,0.5393385822571242,6254,28
83,67,31,98,0.6172678481084837,6296,28
21,70,27,97,0.6141714691872593,7071,28
28,67,27,94,0.6835190356487862,6116,28
28,99,95,194,0.4643017976243083,294733,29
92,74,28,102,0.5658477397906622,5758,29
24,61,29,90,0.5820263249657102,6374,29
93,58,23,81,0.5376957878116622,5269,29
19,53,27,80,0.4185284161324817,5457,29
61,99,97,196,0.6312044834701496,301543,30
30,76,33,109,0.5274416713609343,6215,30
51,72,34,106,0.6281800117504204,12760,30
73,74,30,104,0.6483086748592405,6647,30
54,70,33,103,0.6707647717566511,6430,30
77,99,99,198,0.6931983132276711,332193,31
8,80,45,125,0.6104529693449791,8608,31
71,76,46,122,0.6506066804664982,6811,31
14,80,41,121,0.7717373609610794,8368,31
10,73,45,118,0.6668790698412522,20146,31
20,99,99,198,0.6813743648680683,355786,32
39,84,44,128,0.7004694392590133,6733,32
50,78,43,121,0.702745129127744,6128,32
47,76,43,119,0.6675574287959529,6307,32
52,77,41,118,0.6883806276486797,6154,32
77,99,88,187,0.5449050828319708,166519,33
80,98,79,177,0.5406949488230093,166218,33
95,21,11,32,0.5867212836518734,5384,33
87,22,8,30,0.6002880766569262,5485,33
47,21,8,29,0.5360269119136318,9202,33
4,99,97,196,0.6528746109874708,312064,34
0,71,35,106,0.7468697809235637,6487,34
2,65,35,100,0.7015076811739868,39751,34
53,60,33,93,0.6838914981861126,5965,34
57,56,33,89,0.7877065707861641,6528,34
8,98,90,188,0.6019593264543968,189357,35
57,96,85,181,0.6253725116642803,181437,35
81,30,12,42,0.5947819510588841,5748,35
35,24,15,39,0.429808780370896,5755,35
85,31,7,38,0.6165274139580087,5405,35
0,99,96,195,0.4322592646031283,298918,36
81,70,30,100,0.4034886487894851,11353,36
59,38,18,56,0.4230278961599565,5270,36
41,40,10,50,0.4806893422410719,5320,36
